picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Guion,,1,Agen
1.5,150,270,275,155,Martinez,,2,Agen
1.5,45,270,275,265,Desmaison,,3,Agen
1.5,200,225,225,110,Vernet,,4,Agen
1.5,100,225,225,200,Farrance,,5,Agen
1.5,250,180,185,35,Gérondeau,,6,Agen
1.5,45,180,185,279,Farré,(C),7,Agen
1.5,150,180,185,155,Lokotui,,8,Agen
1.5,205,135,135,75,Graou,,9,Agen
1.5,90,135,135,240,Vincent,,10,Agen
1.5,275,90,85,15,Etcheverry,,11,Agen
1.5,195,90,85,110,Ramoka,,12,Agen
1.5,100,90,85,205,Gailleton,,13,Agen
1.5,25,90,85,300,Rokoduru,,14,Agen
1.5,150,50,40,155,Lamoulie,,15,Agen
1.5,45,315,355,265,Wegrzyn,,1,Aix-en-Provence
1.5,150,315,355,155,Kessler,,2,Aix-en-Provence
1.5,250,315,355,50,Tagi,,3,Aix-en-Provence
1.5,200,360,405,200,Dufour,,4,Aix-en-Provence
1.5,100,360,405,110,Clerc,,5,Aix-en-Provence
1.5,45,405,450,279,Piazzoli,,6,Aix-en-Provence
1.5,250,405,450,35,"De La Vega",,7,Aix-en-Provence
1.5,150,405,450,155,Mallet,(C),8,Aix-en-Provence
1.5,90,450,500,240,Ruru,,9,Aix-en-Provence
1.5,205,450,500,75,Selponi,,10,Aix-en-Provence
1.5,25,495,545,300,Sau,,11,Aix-en-Provence
1.5,105,495,545,205,Marrou,,12,Aix-en-Provence
1.5,200,495,545,110,Betham,,13,Aix-en-Provence
1.5,275,495,545,15,Bly,,14,Aix-en-Provence
1.5,150,535,590,155,Bouhedjeur,,15,Aix-en-Provence
