picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Vanaï,,1,Agen
1.5,150,270,275,155,Zarantonello,,2,Agen
1.5,45,270,275,265,Ryan,,3,Agen
1.5,200,225,225,110,Maravat,,4,Agen
1.5,100,225,225,200,Demotte,,5,Agen
1.5,250,180,185,35,Farré,(C),6,Agen
1.5,45,180,185,279,Gérondeau,,7,Agen
1.5,150,180,185,155,Devergie,,8,Agen
1.5,205,135,135,75,Graou,,9,Agen
1.5,90,135,135,240,Lagarde,,10,Agen
1.5,275,90,85,15,Tolot,,11,Agen
1.5,195,90,85,110,Sloan,,12,Agen
1.5,100,90,85,205,Ramoka,,13,Agen
1.5,25,90,85,300,Rokoduru,,14,Agen
1.5,150,50,40,155,Lamoulie,,15,Agen
1.5,45,315,355,265,Cormenier,,1,Bayonne
1.5,150,315,355,155,Ulugia,,2,Bayonne
1.5,250,315,355,50,Tatafu,,3,Bayonne
1.5,200,360,405,200,Marchois,,4,Bayonne
1.5,100,360,405,110,Luamanu,,5,Bayonne
1.5,45,405,450,279,Monribot,(C),6,Bayonne
1.5,250,405,450,35,Amosa,,7,Bayonne
1.5,150,405,450,155,Cassiem,,8,Bayonne
1.5,90,450,500,240,Venter,,9,Bayonne
1.5,205,450,500,75,Lafage,,10,Bayonne
1.5,25,495,545,300,Baget,,11,Bayonne
1.5,105,495,545,205,David,,12,Bayonne
1.5,200,495,545,110,Maqala,,13,Bayonne
1.5,275,495,545,15,Jacquelain,,14,Bayonne
1.5,150,535,590,155,Germain,,15,Bayonne
