picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Guion,,1,Agen
1.5,150,270,275,155,Bregvadze,,2,Agen
1.5,45,270,275,265,Desmaison,,3,Agen
1.5,200,225,225,110,Vernet,,4,Agen
1.5,100,225,225,200,Salmon,,5,Agen
1.5,250,180,185,35,Farré,(C),6,Agen
1.5,45,180,185,279,Duputs,,7,Agen
1.5,150,180,185,155,Lokotui,,8,Agen
1.5,205,135,135,75,Graou,,9,Agen
1.5,90,135,135,240,Vincent,,10,Agen
1.5,275,90,85,15,Tolot,,11,Agen
1.5,195,90,85,110,Reid,,12,Agen
1.5,100,90,85,205,Sloan,,13,Agen
1.5,25,90,85,300,Etcheverry,,14,Agen
1.5,150,50,40,155,Louvet,,15,Agen
1.5,45,315,355,265,Martin,,1,Bourg-en-Bresse
1.5,150,315,355,155,"Anga\'Aelangi",,2,Bourg-en-Bresse
1.5,250,315,355,50,Harmse,,3,Bourg-en-Bresse
1.5,200,360,405,200,Bloemen,,4,Bourg-en-Bresse
1.5,100,360,405,110,Veyret,,5,Bourg-en-Bresse
1.5,45,405,450,279,Darlet,,6,Bourg-en-Bresse
1.5,250,405,450,35,Baradel,,7,Bourg-en-Bresse
1.5,150,405,450,155,Ioane,,8,Bourg-en-Bresse
1.5,90,450,500,240,Campeggia,(C),9,Bourg-en-Bresse
1.5,205,450,500,75,Olender,,10,Bourg-en-Bresse
1.5,25,495,545,300,Erasmus,,11,Bourg-en-Bresse
1.5,105,495,545,205,Dupouy,,12,Bourg-en-Bresse
1.5,200,495,545,110,Doucet,,13,Bourg-en-Bresse
1.5,275,495,545,15,Santallier,,14,Bourg-en-Bresse
1.5,150,535,590,155,Bérard,,15,Bourg-en-Bresse
