picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Guion,,1,Agen
1.5,150,270,275,155,Sosene-Feagai,,2,Agen
1.5,45,270,275,265,Hamadache,,3,Agen
1.5,200,225,225,110,Maksymiw,,4,Agen
1.5,100,225,225,200,Olsmtead,,5,Agen
1.5,250,180,185,35,Erbani,,6,Agen
1.5,45,180,185,279,Farré,(C),7,Agen
1.5,150,180,185,155,Devergie,,8,Agen
1.5,205,135,135,75,Idjellidaine,,9,Agen
1.5,90,135,135,240,Lagarde,,10,Agen
1.5,275,90,85,15,Etcheverry,,11,Agen
1.5,195,90,85,110,Ramoka,,12,Agen
1.5,100,90,85,205,Lafond,,13,Agen
1.5,25,90,85,300,Raïlevu,,14,Agen
1.5,150,50,40,155,Buttin,,15,Agen
1.5,45,315,355,265,Tartas,,1,Colomiers
1.5,150,315,355,155,Ready,,2,Colomiers
1.5,250,315,355,50,Sheklashvili,,3,Colomiers
1.5,200,360,405,200,Thomas,(C),4,Colomiers
1.5,100,360,405,110,Granouillet,,5,Colomiers
1.5,45,405,450,279,Pacheco,,6,Colomiers
1.5,250,405,450,35,Dastugue,,7,Colomiers
1.5,150,405,450,155,Peysson,,8,Colomiers
1.5,90,450,500,240,Gori,,9,Colomiers
1.5,205,450,500,75,Javaux,,10,Colomiers
1.5,25,495,545,300,Saurs,,11,Colomiers
1.5,105,495,545,205,Campagnaro,,12,Colomiers
1.5,200,495,545,110,Moro,,13,Colomiers
1.5,275,495,545,15,Rokoduguni,,14,Colomiers
1.5,150,535,590,155,Auriac,,15,Colomiers
