picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Vanaï,,1,Agen
1.5,150,270,275,155,Martinez,,2,Agen
1.5,45,270,275,265,Desmaison,,3,Agen
1.5,200,225,225,110,Vernet,,4,Agen
1.5,100,225,225,200,Demotte,,5,Agen
1.5,250,180,185,35,Duputs,(C),6,Agen
1.5,45,180,185,279,Gérondeau,,7,Agen
1.5,150,180,185,155,Nollet,,8,Agen
1.5,205,135,135,75,Graou,,9,Agen
1.5,90,135,135,240,Vincent,,10,Agen
1.5,275,90,85,15,Etcheverry,,11,Agen
1.5,195,90,85,110,Sloan,,12,Agen
1.5,100,90,85,205,Gailleton,,13,Agen
1.5,25,90,85,300,Rokoduru,,14,Agen
1.5,150,50,40,155,Gauban,,15,Agen
1.5,45,315,355,265,Agnesi,,1,Montauban
1.5,150,315,355,155,Deligny,,2,Montauban
1.5,250,315,355,50,Boutemmani,,3,Montauban
1.5,200,360,405,200,Uanivi,,4,Montauban
1.5,100,360,405,110,Paulino,,5,Montauban
1.5,45,405,450,279,Stringer,,6,Montauban
1.5,250,405,450,35,Munoz,(C),7,Montauban
1.5,150,405,450,155,Vaotoa,,8,Montauban
1.5,90,450,500,240,Delord,,9,Montauban
1.5,205,450,500,75,Hawera,,10,Montauban
1.5,25,495,545,300,Ahmed,,11,Montauban
1.5,105,495,545,205,Tupuola,,12,Montauban
1.5,200,495,545,110,Mathy,,13,Montauban
1.5,275,495,545,15,Tuculet,,14,Montauban
1.5,150,535,590,155,Salles,,15,Montauban
