picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Guion,,1,Agen
1.5,150,270,275,155,Martinez,,2,Agen
1.5,45,270,275,265,Ryan,,3,Agen
1.5,200,225,225,110,Vernet,,4,Agen
1.5,100,225,225,200,Salmon,,5,Agen
1.5,250,180,185,35,Duputs,(C),6,Agen
1.5,45,180,185,279,Gérondeau,,7,Agen
1.5,150,180,185,155,Nollet,,8,Agen
1.5,205,135,135,75,Bellot,,9,Agen
1.5,90,135,135,240,Lagarde,,10,Agen
1.5,275,90,85,15,Etcheverry,,11,Agen
1.5,195,90,85,110,Sloan,,12,Agen
1.5,100,90,85,205,Garrigues,,13,Agen
1.5,25,90,85,300,Rokoduru,,14,Agen
1.5,150,50,40,155,Gauban,,15,Agen
1.5,45,315,355,265,Abadie,,1,Narbonne
1.5,150,315,355,155,Rochier,,2,Narbonne
1.5,250,315,355,50,Cotet,,3,Narbonne
1.5,200,360,405,200,Fortuin,,4,Narbonne
1.5,100,360,405,110,Visser,,5,Narbonne
1.5,45,405,450,279,Madaule,,6,Narbonne
1.5,250,405,450,35,Axtens,,7,Narbonne
1.5,150,405,450,155,Nouhaillaguet,(C),8,Narbonne
1.5,90,450,500,240,Chaput,,9,Narbonne
1.5,205,450,500,75,Robertson,,10,Narbonne
1.5,25,495,545,300,"Cardoso Pinto",,11,Narbonne
1.5,105,495,545,205,Nawaqatabu,,12,Narbonne
1.5,200,495,545,110,Ducom,,13,Narbonne
1.5,275,495,545,15,Sitauti,,14,Narbonne
1.5,150,535,590,155,Taulagi,,15,Narbonne
