picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Vanaï,,1,Agen
1.5,150,270,275,155,Zarantonello,,2,Agen
1.5,45,270,275,265,Ryan,,3,Agen
1.5,200,225,225,110,Vernet,,4,Agen
1.5,100,225,225,200,Farrance,,5,Agen
1.5,250,180,185,35,Duputs,,6,Agen
1.5,45,180,185,279,Lokotui,,7,Agen
1.5,150,180,185,155,Devergie,,8,Agen
1.5,205,135,135,75,Takulua,,9,Agen
1.5,90,135,135,240,Lagarde,(C),10,Agen
1.5,275,90,85,15,Railevu,,11,Agen
1.5,195,90,85,110,Ramoka,,12,Agen
1.5,100,90,85,205,Gailleton,,13,Agen
1.5,25,90,85,300,Rokoduru,,14,Agen
1.5,150,50,40,155,Tolot,,15,Agen
1.5,45,315,355,265,Mataradze,,1,Nevers
1.5,150,315,355,155,Tarrit,(C),2,Nevers
1.5,250,315,355,50,Kharaishvili,,3,Nevers
1.5,200,360,405,200,Barjaud,,4,Nevers
1.5,100,360,405,110,Ceyte,,5,Nevers
1.5,45,405,450,279,Plataret,,6,Nevers
1.5,250,405,450,35,Bastide,,7,Nevers
1.5,150,405,450,155,Fraser,,8,Nevers
1.5,90,450,500,240,Manevy,,9,Nevers
1.5,205,450,500,75,Reynolds,,10,Nevers
1.5,25,495,545,300,Camou,,11,Nevers
1.5,105,495,545,205,Derrieux,,12,Nevers
1.5,200,495,545,110,Loaloa,,13,Nevers
1.5,275,495,545,15,Blanc,,14,Nevers
1.5,150,535,590,155,Dumas,,15,Nevers
