picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Guion,,1,Agen
1.5,150,270,275,155,Martinez,,2,Agen
1.5,45,270,275,265,Hamadache,,3,Agen
1.5,200,225,225,110,Maksymiw,,4,Agen
1.5,100,225,225,200,Olmstead,,5,Agen
1.5,250,180,185,35,Duputs,,6,Agen
1.5,45,180,185,279,Erbani,,7,Agen
1.5,150,180,185,155,Lokotui,,8,Agen
1.5,205,135,135,75,"(m) Bellot",,9,Agen
1.5,90,135,135,240,"(o) Lagarde",(C),10,Agen
1.5,275,90,85,15,Etcheverry,,11,Agen
1.5,195,90,85,110,Ramoka,,12,Agen
1.5,100,90,85,205,Sloan,,13,Agen
1.5,25,90,85,300,Railevu,,14,Agen
1.5,150,50,40,155,Buttin,,15,Agen
1.5,45,315,355,265,Raynaud,(C),1,Oyonnax
1.5,150,315,355,155,Geledan,,2,Oyonnax
1.5,250,315,355,50,Laclayat,,3,Oyonnax
1.5,200,360,405,200,Murday,,4,Oyonnax
1.5,100,360,405,110,Battye,,5,Oyonnax
1.5,45,405,450,279,Picault,,6,Oyonnax
1.5,250,405,450,35,Credoz,,7,Oyonnax
1.5,150,405,450,155,Grice,,8,Oyonnax
1.5,90,450,500,240,"(m) Cassang",,9,Oyonnax
1.5,205,450,500,75,"(o) Soulan",,10,Oyonnax
1.5,25,495,545,300,Reybier,,11,Oyonnax
1.5,105,495,545,205,Millet,,12,Oyonnax
1.5,200,495,545,110,Vialelle,,13,Oyonnax
1.5,275,495,545,15,Sweetnam,,14,Oyonnax
1.5,150,535,590,155,Ensor,,15,Oyonnax
