picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Vanaï,,1,Agen
1.5,150,270,275,155,Zarantonello,,2,Agen
1.5,45,270,275,265,Ryan,,3,Agen
1.5,200,225,225,110,Vernet,,4,Agen
1.5,100,225,225,200,Farrance,,5,Agen
1.5,250,180,185,35,Lokotui,,6,Agen
1.5,45,180,185,279,Duputs,,7,Agen
1.5,150,180,185,155,Devergie,,8,Agen
1.5,205,135,135,75,Takulua,,9,Agen
1.5,90,135,135,240,Lagarde,(C),10,Agen
1.5,275,90,85,15,Railevu,,11,Agen
1.5,195,90,85,110,Sloan,,12,Agen
1.5,100,90,85,205,Ramoka,,13,Agen
1.5,25,90,85,300,Rokoduru,,14,Agen
1.5,150,50,40,155,Tolot,,15,Agen
1.5,45,315,355,265,Asieshvili,,1,Rouen
1.5,150,315,355,155,Ngauamo,,2,Rouen
1.5,250,315,355,50,"N\'Diaye",,3,Rouen
1.5,200,360,405,200,Jeleu,,4,Rouen
1.5,100,360,405,110,Kerry,,5,Rouen
1.5,45,405,450,279,Maximin,,6,Rouen
1.5,250,405,450,35,Costa,,7,Rouen
1.5,150,405,450,155,Mapapalangui,,8,Rouen
1.5,90,450,500,240,Baska,,9,Rouen
1.5,205,450,500,75,Waite,,10,Rouen
1.5,25,495,545,300,Megdoud,,11,Rouen
1.5,105,495,545,205,Luatua,,12,Rouen
1.5,200,495,545,110,Lafond,,13,Rouen
1.5,275,495,545,15,Tuatagaloa,,14,Rouen
1.5,150,535,590,155,Lydon,(C),15,Rouen
