picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Barrington,,1,Agen
1.5,150,270,275,155,Sosene-Feagai,,2,Agen
1.5,45,270,275,265,Burin,,3,Agen
1.5,200,225,225,110,Maksymiw,,4,Agen
1.5,100,225,225,200,Olmstead,,5,Agen
1.5,250,180,185,35,Duputs,,6,Agen
1.5,45,180,185,279,Erbani,,7,Agen
1.5,150,180,185,155,Devergie,,8,Agen
1.5,205,135,135,75,"(m) Idjellidaine",,9,Agen
1.5,90,135,135,240,"(o) Lagarde",(C),10,Agen
1.5,275,90,85,15,Etcheverry,,11,Agen
1.5,195,90,85,110,Ramoka,,12,Agen
1.5,100,90,85,205,Sloan,,13,Agen
1.5,25,90,85,300,Railevu,,14,Agen
1.5,150,50,40,155,Lamoulie,,15,Agen
1.5,45,315,355,265,Berguet,,1,Vannes
1.5,150,315,355,155,Leafa,,2,Vannes
1.5,250,315,355,50,Afoa,,3,Vannes
1.5,200,360,405,200,"J. Edwards",,4,Vannes
1.5,100,360,405,110,Desjeux,,5,Vannes
1.5,45,405,450,279,Gorrissen,(C),6,Vannes
1.5,250,405,450,35,Bazin,,7,Vannes
1.5,150,405,450,155,Boulier,,8,Vannes
1.5,90,450,500,240,"(m) Zabalza",,9,Vannes
1.5,205,450,500,75,"(o) Lafage",,10,Vannes
1.5,25,495,545,300,Camou,,11,Vannes
1.5,105,495,545,205,Vilaseca,,12,Vannes
1.5,200,495,545,110,Freitas,,13,Vannes
1.5,275,495,545,15,Hulleu,,14,Vannes
1.5,150,535,590,155,Abendanon,,15,Vannes
