picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Wegrzyn,,1,Aix-en-Provence
1.5,150,270,275,155,Kessler,,2,Aix-en-Provence
1.5,45,270,275,265,Tagi,,3,Aix-en-Provence
1.5,200,225,225,110,Dufour,,4,Aix-en-Provence
1.5,100,225,225,200,Axtens,,5,Aix-en-Provence
1.5,250,180,185,35,Laget,,6,Aix-en-Provence
1.5,45,180,185,279,Taïeb,,7,Aix-en-Provence
1.5,150,180,185,155,Malet,(C),8,Aix-en-Provence
1.5,205,135,135,75,Ruru,,9,Aix-en-Provence
1.5,90,135,135,240,McPhillips,,10,Aix-en-Provence
1.5,275,90,85,15,Bly,,11,Aix-en-Provence
1.5,195,90,85,110,Marrou,,12,Aix-en-Provence
1.5,100,90,85,205,Betham,,13,Aix-en-Provence
1.5,25,90,85,300,Lapègue,,14,Aix-en-Provence
1.5,150,50,40,155,Massip,,15,Aix-en-Provence
1.5,45,315,355,265,Lombard-Buret,,1,Agen
1.5,150,315,355,155,Zarantonello,,2,Agen
1.5,250,315,355,50,Hamadache,,3,Agen
1.5,200,360,405,200,Maksymiw,,4,Agen
1.5,100,360,405,110,Farrance,,5,Agen
1.5,45,405,450,279,Duputs,,6,Agen
1.5,250,405,450,35,Farré,(C),7,Agen
1.5,150,405,450,155,Lokotui,,8,Agen
1.5,90,450,500,240,Takulua,,9,Agen
1.5,205,450,500,75,Vincent,,10,Agen
1.5,25,495,545,300,Tolot,,11,Agen
1.5,105,495,545,205,Sloan,,12,Agen
1.5,200,495,545,110,Belan,,13,Agen
1.5,275,495,545,15,Rokoduru,,14,Agen
1.5,150,535,590,155,Lamoulie,,15,Agen
