picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Wegrzyn,,1,Aix-en-Provence
1.5,150,270,275,155,Kessler,,2,Aix-en-Provence
1.5,45,270,275,265,Tagi,,3,Aix-en-Provence
1.5,200,225,225,110,Dufour,,4,Aix-en-Provence
1.5,100,225,225,200,Flanquart,,5,Aix-en-Provence
1.5,250,180,185,35,Mousties,,6,Aix-en-Provence
1.5,45,180,185,279,Annetta,,7,Aix-en-Provence
1.5,150,180,185,155,Malet,(C),8,Aix-en-Provence
1.5,205,135,135,75,"J. Ruru",,9,Aix-en-Provence
1.5,90,135,135,240,Selponi,,10,Aix-en-Provence
1.5,275,90,85,15,Bly,,11,Aix-en-Provence
1.5,195,90,85,110,Marrou,,12,Aix-en-Provence
1.5,100,90,85,205,Belan,,13,Aix-en-Provence
1.5,25,90,85,300,Betham,,14,Aix-en-Provence
1.5,150,50,40,155,Massip,,15,Aix-en-Provence
1.5,45,315,355,265,Boniface,,1,Bayonne
1.5,150,315,355,155,"Van Jaarsveld",,2,Bayonne
1.5,250,315,355,50,Tatafu,,3,Bayonne
1.5,200,360,405,200,Galarza,(C),4,Bayonne
1.5,100,360,405,110,Mikautadze,,5,Bayonne
1.5,45,405,450,279,Monribot,,6,Bayonne
1.5,250,405,450,35,Marchois,,7,Bayonne
1.5,150,405,450,155,Amosa,,8,Bayonne
1.5,90,450,500,240,Venter,,9,Bayonne
1.5,205,450,500,75,Dolhagarray,,10,Bayonne
1.5,25,495,545,300,Bouche,,11,Bayonne
1.5,105,495,545,205,Lestrade,,12,Bayonne
1.5,200,495,545,110,Baget,,13,Bayonne
1.5,275,495,545,15,Ravouvou,,14,Bayonne
1.5,150,535,590,155,Germain,,15,Bayonne
