picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Plantier,,1,Aurillac
1.5,150,270,275,155,Smith,,2,Aurillac
1.5,45,270,275,265,Kartvelishvili,,3,Aurillac
1.5,200,225,225,110,Rolland,,4,Aurillac
1.5,100,225,225,200,Singer,,5,Aurillac
1.5,250,180,185,35,Maituku,,6,Aurillac
1.5,45,180,185,279,Tsutskiridze,,7,Aurillac
1.5,150,180,185,155,Tison,(C),8,Aurillac
1.5,205,135,135,75,Bouyssou,,9,Aurillac
1.5,90,135,135,240,Palmier,,10,Aurillac
1.5,275,90,85,15,Valentin,,11,Aurillac
1.5,195,90,85,110,Niko,,12,Aurillac
1.5,100,90,85,205,Yobo,,13,Aurillac
1.5,25,90,85,300,Coertzen,,14,Aurillac
1.5,150,50,40,155,Gogoladze,,15,Aurillac
1.5,45,315,355,265,Vanaï,,1,Agen
1.5,150,315,355,155,Barka,,2,Agen
1.5,250,315,355,50,Falatea,,3,Agen
1.5,200,360,405,200,Vernet,,4,Agen
1.5,100,360,405,110,Demotte,,5,Agen
1.5,45,405,450,279,Bonnet,,6,Agen
1.5,250,405,450,35,Farré,(C),7,Agen
1.5,150,405,450,155,Devergie,,8,Agen
1.5,90,450,500,240,Takulua,,9,Agen
1.5,205,450,500,75,Gerber,,10,Agen
1.5,25,495,545,300,Railevu,,11,Agen
1.5,105,495,545,205,Ramoka,,12,Agen
1.5,200,495,545,110,Gailleton,,13,Agen
1.5,275,495,545,15,Rokoduru,,14,Agen
1.5,150,535,590,155,Tolot,,15,Agen
