picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Nar hk ",,1,Aurillac
1.5,150,270,275,155,"Nar hk",(C),2,Aurillac
1.5,45,270,275,265,"Nar hk",,3,Aurillac
1.5,200,225,225,110,"Nar hk",,4,Aurillac
1.5,100,225,225,200,"Nar hk",,5,Aurillac
1.5,250,180,185,35,"Nar hk",,6,Aurillac
1.5,45,180,185,279,"Nar hk",,7,Aurillac
1.5,150,180,185,155,"Nar hk",,8,Aurillac
1.5,205,135,135,75,"Nar hk",,9,Aurillac
1.5,90,135,135,240,"Nar hk",,10,Aurillac
1.5,275,90,85,15,"Nar hk",,11,Aurillac
1.5,195,90,85,110,"Nar hk",,12,Aurillac
1.5,100,90,85,205,"Nar hk",,13,Aurillac
1.5,25,90,85,300,"Nar hk",,14,Aurillac
1.5,150,50,40,155,"Nar hk",,15,Aurillac
1.5,45,315,355,265," ghj jg jhgjh",,1,Nevers
1.5,150,315,355,155," ghj jg jhgjh",,2,Nevers
1.5,250,315,355,50," ghj jg jhgjh",,3,Nevers
1.5,200,360,405,200," ghj jg jhgjh",,4,Nevers
1.5,100,360,405,110," ghj jg jhgjh",(C),5,Nevers
1.5,45,405,450,279," ghj jg jhgjh",,6,Nevers
1.5,250,405,450,35," ghj jg jhgjh",,7,Nevers
1.5,150,405,450,155," ghj jg jhgjh",,8,Nevers
1.5,90,450,500,240," ghj jg jhgjh",,9,Nevers
1.5,205,450,500,75," ghj jg jhgjh",,10,Nevers
1.5,25,495,545,300," ghj jg jhgjh",,11,Nevers
1.5,105,495,545,205," ghj jg jhgjh",,12,Nevers
1.5,200,495,545,110," ghj jg jhgjh",,13,Nevers
1.5,275,495,545,15," ghj jg jhgjh",,14,Nevers
1.5,150,535,590,155," ghj jg jhgjh",,15,Nevers
