picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Boniface,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsveld",,2,Bayonne
1.5,45,270,275,265,Mousset,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Luamanu,,5,Bayonne
1.5,250,180,185,35,Cassiem,,6,Bayonne
1.5,45,180,185,279,Héguy,,7,Bayonne
1.5,150,180,185,155,Amosa,,8,Bayonne
1.5,205,135,135,75,Rouet,,9,Bayonne
1.5,90,135,135,240,Lafage,,10,Bayonne
1.5,275,90,85,15,Baget,,11,Bayonne
1.5,195,90,85,110,David,,12,Bayonne
1.5,100,90,85,205,Muscarditz,,13,Bayonne
1.5,25,90,85,300,Ravouvou,,14,Bayonne
1.5,150,50,40,155,Duhau,,15,Bayonne
1.5,45,315,355,265,Guion,,1,Agen
1.5,150,315,355,155,Martinez,,2,Agen
1.5,250,315,355,50,Ryan,,3,Agen
1.5,200,360,405,200,Vernet,,4,Agen
1.5,100,360,405,110,Moreaux,,5,Agen
1.5,45,405,450,279,Farré,(C),6,Agen
1.5,250,405,450,35,Duputs,,7,Agen
1.5,150,405,450,155,Lokotui,,8,Agen
1.5,90,450,500,240,Graou,,9,Agen
1.5,205,450,500,75,Dayral,,10,Agen
1.5,25,495,545,300,Gauban,,11,Agen
1.5,105,495,545,205,Sloan,,12,Agen
1.5,200,495,545,110,Reid,,13,Agen
1.5,275,495,545,15,Etcheverry,,14,Agen
1.5,150,535,590,155,Tolot,,15,Agen
