picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Boniface,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsveld",,2,Bayonne
1.5,45,270,275,265,Mousset,,3,Bayonne
1.5,200,225,225,110,Marchois,,4,Bayonne
1.5,100,225,225,200,Luamanu,,5,Bayonne
1.5,250,180,185,35,Usarraga,,6,Bayonne
1.5,45,180,185,279,Heguy,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Rouet,,9,Bayonne
1.5,90,135,135,240,Lafage,,10,Bayonne
1.5,275,90,85,15,Jacquelain,,11,Bayonne
1.5,195,90,85,110,Muscarditz,(C),12,Bayonne
1.5,100,90,85,205,Costossèque,,13,Bayonne
1.5,25,90,85,300,Ravouvou,,14,Bayonne
1.5,150,50,40,155,Baget,,15,Bayonne
1.5,45,315,355,265,Wegrzyn,,1,Aix-en-Provence
1.5,150,315,355,155,Laget,,2,Aix-en-Provence
1.5,250,315,355,50,Lololea,,3,Aix-en-Provence
1.5,200,360,405,200,Clerc,,4,Aix-en-Provence
1.5,100,360,405,110,Nkinsi,,5,Aix-en-Provence
1.5,45,405,450,279,"De la Vega",,6,Aix-en-Provence
1.5,250,405,450,35,Piazzoli,,7,Aix-en-Provence
1.5,150,405,450,155,"J. Burotu",,8,Aix-en-Provence
1.5,90,450,500,240,Nanette,,9,Aix-en-Provence
1.5,205,450,500,75,"N. Bézy",,10,Aix-en-Provence
1.5,25,495,545,300,Sau,,11,Aix-en-Provence
1.5,105,495,545,205,Navizet,,12,Aix-en-Provence
1.5,200,495,545,110,Belan,,13,Aix-en-Provence
1.5,275,495,545,15,Bly,,14,Aix-en-Provence
1.5,150,535,590,155,Betham,(C),15,Aix-en-Provence
