picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Perchaud,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsveld",,2,Bayonne
1.5,45,270,275,265,Tatafu,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Mikautadze,,5,Bayonne
1.5,250,180,185,35,Usarraga,,6,Bayonne
1.5,45,180,185,279,Taofifenua,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Rouet,,9,Bayonne
1.5,90,135,135,240,Ordas,,10,Bayonne
1.5,275,90,85,15,Baget,,11,Bayonne
1.5,195,90,85,110,Lestrade,,12,Bayonne
1.5,100,90,85,205,Muscarditz,,13,Bayonne
1.5,25,90,85,300,Jacquelain,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Royer,,1,Aurillac
1.5,150,315,355,155,Lachaud,,2,Aurillac
1.5,250,315,355,50,Daniel-Messein,,3,Aurillac
1.5,200,360,405,200,Tivoli,,4,Aurillac
1.5,100,360,405,110,Singer,,5,Aurillac
1.5,45,405,450,279,Cambon,,6,Aurillac
1.5,250,405,450,35,Tsutskiridze,,7,Aurillac
1.5,150,405,450,155,Maituku,(C),8,Aurillac
1.5,90,450,500,240,Alania,,9,Aurillac
1.5,205,450,500,75,Neisen,,10,Aurillac
1.5,25,495,545,300,Minguillon,,11,Aurillac
1.5,105,495,545,205,Powell,,12,Aurillac
1.5,200,495,545,110,Vaccaro,,13,Aurillac
1.5,275,495,545,15,Valentin,,14,Aurillac
1.5,150,535,590,155,Gogoladze,,15,Aurillac
