picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Boniface,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsveld",,2,Bayonne
1.5,45,270,275,265,Talakai,,3,Bayonne
1.5,200,225,225,110,Galarza,,4,Bayonne
1.5,100,225,225,200,Mikautadze,,5,Bayonne
1.5,250,180,185,35,Luamanu,,6,Bayonne
1.5,45,180,185,279,Dione,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Venter,,9,Bayonne
1.5,90,135,135,240,Lafage,,10,Bayonne
1.5,275,90,85,15,Jacquelain,,11,Bayonne
1.5,195,90,85,110,Lestrade,,12,Bayonne
1.5,100,90,85,205,Costossèque,,13,Bayonne
1.5,25,90,85,300,Baget,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Akhaladze,,1,Béziers
1.5,150,315,355,155,Esteriola,,2,Béziers
1.5,250,315,355,50,Zabala,,3,Béziers
1.5,200,360,405,200,Eames,,4,Béziers
1.5,100,360,405,110,Madigan,,5,Béziers
1.5,45,405,450,279,Barrère,,6,Béziers
1.5,250,405,450,35,Massot,,7,Béziers
1.5,150,405,450,155,Hoarau,,8,Béziers
1.5,90,450,500,240,Goillot,,9,Béziers
1.5,205,450,500,75,Uruty,,10,Béziers
1.5,25,495,545,300,Plazy,,11,Béziers
1.5,105,495,545,205,Poi,,12,Béziers
1.5,200,495,545,110,Swanepoel,,13,Béziers
1.5,275,495,545,15,Espeut,,14,Béziers
1.5,150,535,590,155,Zenon,,15,Béziers
