picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,,,1,Bayonne
1.5,150,270,275,155,,,2,Bayonne
1.5,45,270,275,265,,,3,Bayonne
1.5,200,225,225,110,Equipe1,,4,Bayonne
1.5,100,225,225,200,Equipe1,,5,Bayonne
1.5,250,180,185,35,,,6,Bayonne
1.5,45,180,185,279,,,7,Bayonne
1.5,150,180,185,155,,,8,Bayonne
1.5,205,135,135,75,,,9,Bayonne
1.5,90,135,135,240,Equipe1,,10,Bayonne
1.5,275,90,85,15,Equipe1,,11,Bayonne
1.5,195,90,85,110,,,12,Bayonne
1.5,100,90,85,205,,,13,Bayonne
1.5,25,90,85,300,Equipe1,,14,Bayonne
1.5,150,50,40,155,Equipe1,,15,Bayonne
1.5,45,315,355,265,Equipe2,,1,Bordeaux-Bègles
1.5,150,315,355,155,Equipe2,,2,Bordeaux-Bègles
1.5,250,315,355,50,Equipe2,,3,Bordeaux-Bègles
1.5,200,360,405,200,Equipe2,,4,Bordeaux-Bègles
1.5,100,360,405,110,Equipe2,,5,Bordeaux-Bègles
1.5,45,405,450,279,Equipe2,(C),6,Bordeaux-Bègles
1.5,250,405,450,35,Equipe2,,7,Bordeaux-Bègles
1.5,150,405,450,155,Equipe2,,8,Bordeaux-Bègles
1.5,90,450,500,240,Equipe2,,9,Bordeaux-Bègles
1.5,205,450,500,75,Equipe2,,10,Bordeaux-Bègles
1.5,25,495,545,300,Equipe2,,11,Bordeaux-Bègles
1.5,105,495,545,205,Equipe2,,12,Bordeaux-Bègles
1.5,200,495,545,110,Equipe2,,13,Bordeaux-Bègles
1.5,275,495,545,15,Equipe2,,14,Bordeaux-Bègles
1.5,150,535,590,155,Equipe2,,15,Bordeaux-Bègles
