picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Perchaud,,1,Bayonne
1.5,150,270,275,155,Delonca,(C),2,Bayonne
1.5,45,270,275,265,Tchelidze,,3,Bayonne
1.5,200,225,225,110,Marchois,,4,Bayonne
1.5,100,225,225,200,Mikautadze,,5,Bayonne
1.5,250,180,185,35,Usarraga,,6,Bayonne
1.5,45,180,185,279,Heguy,,7,Bayonne
1.5,150,180,185,155,Taofifenua,,8,Bayonne
1.5,205,135,135,75,Rouet,,9,Bayonne
1.5,90,135,135,240,Lafage,,10,Bayonne
1.5,275,90,85,15,Duhau,,11,Bayonne
1.5,195,90,85,110,Toeava,,12,Bayonne
1.5,100,90,85,205,Maqala,,13,Bayonne
1.5,25,90,85,300,Baget,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Kapanadze,,1,Bourg-en-Bresse
1.5,150,315,355,155,Jullien,,2,Bourg-en-Bresse
1.5,250,315,355,50,"De Clercq",,3,Bourg-en-Bresse
1.5,200,360,405,200,Veyret,,4,Bourg-en-Bresse
1.5,100,360,405,110,Bloemen,,5,Bourg-en-Bresse
1.5,45,405,450,279,Darlet,,6,Bourg-en-Bresse
1.5,250,405,450,35,Furno,,7,Bourg-en-Bresse
1.5,150,405,450,155,Baradel,(C),8,Bourg-en-Bresse
1.5,90,450,500,240,Faure,,9,Bourg-en-Bresse
1.5,205,450,500,75,Viard,,10,Bourg-en-Bresse
1.5,25,495,545,300,Dupont,,11,Bourg-en-Bresse
1.5,105,495,545,205,Hingano,,12,Bourg-en-Bresse
1.5,200,495,545,110,"Badet ",,13,Bourg-en-Bresse
1.5,275,495,545,15,"De Fleurian",,14,Bourg-en-Bresse
1.5,150,535,590,155,Meliande,,15,Bourg-en-Bresse
