picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Equipe1,,1,Bayonne
1.5,150,270,275,155,Equipe1,,2,Bayonne
1.5,45,270,275,265,Equipe1,,3,Bayonne
1.5,200,225,225,110,Equipe1,,4,Bayonne
1.5,100,225,225,200,Equipe1,(C),5,Bayonne
1.5,250,180,185,35,Equipe1,,6,Bayonne
1.5,45,180,185,279,Equipe1,,7,Bayonne
1.5,150,180,185,155,Equipe1,,8,Bayonne
1.5,205,135,135,75,Equipe1,,9,Bayonne
1.5,90,135,135,240,Equipe1,,10,Bayonne
1.5,275,90,85,15,Equipe1,,11,Bayonne
1.5,195,90,85,110,Equipe1,,12,Bayonne
1.5,100,90,85,205,Equipe1,,13,Bayonne
1.5,25,90,85,300,Equipe1,,14,Bayonne
1.5,150,50,40,155,Equipe1,,15,Bayonne
1.5,45,315,355,265,"Nom 1",,1,Brive
1.5,150,315,355,155,"Nom 2",,2,Brive
1.5,250,315,355,50,"Nom 3",(C),3,Brive
1.5,200,360,405,200,"Nom 4",,4,Brive
1.5,100,360,405,110,"Nom 5",,5,Brive
1.5,45,405,450,279,"Nom 6",,6,Brive
1.5,250,405,450,35,"Nom 7",,7,Brive
1.5,150,405,450,155,"Nom 8",,8,Brive
1.5,90,450,500,240,"Nom 9",,9,Brive
1.5,205,450,500,75,"Nom 10",,10,Brive
1.5,25,495,545,300,"Nom 11",,11,Brive
1.5,105,495,545,205,"Nom 12",,12,Brive
1.5,200,495,545,110,"Nom 13",,13,Brive
1.5,275,495,545,15,"Nom 14",,14,Brive
1.5,150,535,590,155,"Nom 15",,15,Brive
