picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Boniface,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsveld",,2,Bayonne
1.5,45,270,275,265,Tatafu,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Luamanu,,5,Bayonne
1.5,250,180,185,35,Amosa,,6,Bayonne
1.5,45,180,185,279,Marchois,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Venter,,9,Bayonne
1.5,90,135,135,240,Ordas,,10,Bayonne
1.5,275,90,85,15,Baget,,11,Bayonne
1.5,195,90,85,110,David,,12,Bayonne
1.5,100,90,85,205,Maqala,,13,Bayonne
1.5,25,90,85,300,Jacquelain,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Futeu,,1,Carcassonne
1.5,150,315,355,155,Sauveterre,,2,Carcassonne
1.5,250,315,355,50,Azar,,3,Carcassonne
1.5,200,360,405,200,Calas,,4,Carcassonne
1.5,100,360,405,110,"Van der Merwe",,5,Carcassonne
1.5,45,405,450,279,Carroll,,6,Carcassonne
1.5,250,405,450,35,Huguet,,7,Carcassonne
1.5,150,405,450,155,Agaba,,8,Carcassonne
1.5,90,450,500,240,Marques,(C),9,Carcassonne
1.5,205,450,500,75,Dolhagarray,,10,Carcassonne
1.5,25,495,545,300,Jasmin,,11,Carcassonne
1.5,105,495,545,205,Tuilagi,,12,Carcassonne
1.5,200,495,545,110,Dulon,,13,Carcassonne
1.5,275,495,545,15,Lazzarotto,,14,Carcassonne
1.5,150,535,590,155,Gianet,,15,Carcassonne
