picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Talakai,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsveld",,2,Bayonne
1.5,45,270,275,265,Cormenier,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Marchois,,5,Bayonne
1.5,250,180,185,35,Monribot,,6,Bayonne
1.5,45,180,185,279,Amosa,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Venter,,9,Bayonne
1.5,90,135,135,240,Dolhagaray,,10,Bayonne
1.5,275,90,85,15,Ravouvou,,11,Bayonne
1.5,195,90,85,110,David,,12,Bayonne
1.5,100,90,85,205,Maqala,,13,Bayonne
1.5,25,90,85,300,Baget,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Djehi,,1,Colomiers
1.5,150,315,355,155,Larrieu,,2,Colomiers
1.5,250,315,355,50,Pirlet,,3,Colomiers
1.5,200,360,405,200,Granouillet,,4,Colomiers
1.5,100,360,405,110,Ricard,,5,Colomiers
1.5,45,405,450,279,Coletta,(C),6,Colomiers
1.5,250,405,450,35,Ponpon,,7,Colomiers
1.5,150,405,450,155,Peysson,,8,Colomiers
1.5,90,450,500,240,Gori,,9,Colomiers
1.5,205,450,500,75,Séguy,,10,Colomiers
1.5,25,495,545,300,Moro,,11,Colomiers
1.5,105,495,545,205,Campagnaro,,12,Colomiers
1.5,200,495,545,110,Pimienta,,13,Colomiers
1.5,275,495,545,15,Rokoduguni,,14,Colomiers
1.5,150,535,590,155,Palisson,,15,Colomiers
