picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Boniface,,1,Bayonne
1.5,150,270,275,155,Delonca,,2,Bayonne
1.5,45,270,275,265,Mousset,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Mikautadze,,5,Bayonne
1.5,250,180,185,35,Marchois,,6,Bayonne
1.5,45,180,185,279,Taofifenua,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Venter,,9,Bayonne
1.5,90,135,135,240,Ordas,,10,Bayonne
1.5,275,90,85,15,Duhau,,11,Bayonne
1.5,195,90,85,110,Muscarditz,,12,Bayonne
1.5,100,90,85,205,Maqala,,13,Bayonne
1.5,25,90,85,300,Baget,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Eglaine,,1,Grenoble
1.5,150,315,355,155,Camilleri,,2,Grenoble
1.5,250,315,355,50,Kaikatsishvili,,3,Grenoble
1.5,200,360,405,200,Lainault,,4,Grenoble
1.5,100,360,405,110,Vigne,,5,Grenoble
1.5,45,405,450,279,Guillaumond,,6,Grenoble
1.5,250,405,450,35,Martel,,7,Grenoble
1.5,150,405,450,155,Ruaud,,8,Grenoble
1.5,90,450,500,240,"F. Ezcurra",,9,Grenoble
1.5,205,450,500,75,Barthélémy,,10,Grenoble
1.5,25,495,545,300,Dupont,(C),11,Grenoble
1.5,105,495,545,205,"B. Ezcurra",,12,Grenoble
1.5,200,495,545,110,Fusier,,13,Grenoble
1.5,275,495,545,15,Manu,,14,Grenoble
1.5,150,535,590,155,Capuozzo,,15,Grenoble
