picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Cormenier,,1,Bayonne
1.5,150,270,275,155,Bosch,,2,Bayonne
1.5,45,270,275,265,Cotet,,3,Bayonne
1.5,200,225,225,110,Leindekar,,4,Bayonne
1.5,100,225,225,200,Ceyte,,5,Bayonne
1.5,250,180,185,35,Huguet,,6,Bayonne
1.5,45,180,185,279,Amosa,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Machenaud,,9,Bayonne
1.5,90,135,135,240,Lopez,(C),10,Bayonne
1.5,275,90,85,15,Baget,,11,Bayonne
1.5,195,90,85,110,David,,12,Bayonne
1.5,100,90,85,205,Maqala,,13,Bayonne
1.5,25,90,85,300,Hannoun,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Aouf,,1,"La Rochelle"
1.5,150,315,355,155,Lespiaucq,,2,"La Rochelle"
1.5,250,315,355,50,Atonio,,3,"La Rochelle"
1.5,200,360,405,200,Sazy,(C),4,"La Rochelle"
1.5,100,360,405,110,Skelton,,5,"La Rochelle"
1.5,45,405,450,279,Dillane,,6,"La Rochelle"
1.5,250,405,450,35,"Pa. Boudehent",,7,"La Rochelle"
1.5,150,405,450,155,Tanga,,8,"La Rochelle"
1.5,90,450,500,240,Kerr-Barlow,,9,"La Rochelle"
1.5,205,450,500,75,Seuteni,,10,"La Rochelle"
1.5,25,495,545,300,Favre,,11,"La Rochelle"
1.5,105,495,545,205,Botia,,12,"La Rochelle"
1.5,200,495,545,110,"Pi. Boudehent",,13,"La Rochelle"
1.5,275,495,545,15,Thomas,,14,"La Rochelle"
1.5,150,535,590,155,Leyds,,15,"La Rochelle"
