picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Boniface,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsvled",,2,Bayonne
1.5,45,270,275,265,Mousset,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Luamanu,,5,Bayonne
1.5,250,180,185,35,Taofifenua,,6,Bayonne
1.5,45,180,185,279,Heguy,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Rouet,,9,Bayonne
1.5,90,135,135,240,Lafage,,10,Bayonne
1.5,275,90,85,15,Baget,,11,Bayonne
1.5,195,90,85,110,Jacquelain,,12,Bayonne
1.5,100,90,85,205,Costossèque,,13,Bayonne
1.5,25,90,85,300,Ravouvou,,14,Bayonne
1.5,150,50,40,155,Duhau,,15,Bayonne
1.5,45,315,355,265,Innocente,,1,Mont-de-Marsan
1.5,150,315,355,155,Latterrade,,2,Mont-de-Marsan
1.5,250,315,355,50,Alves,,3,Mont-de-Marsan
1.5,200,360,405,200,Garrault,,4,Mont-de-Marsan
1.5,100,360,405,110,Ostrikov,,5,Mont-de-Marsan
1.5,45,405,450,279,Brethous,,6,Mont-de-Marsan
1.5,250,405,450,35,Banos,,7,Mont-de-Marsan
1.5,150,405,450,155,Wavrin,(C),8,Mont-de-Marsan
1.5,90,450,500,240,Coly,,9,Mont-de-Marsan
1.5,205,450,500,75,"Du Plessis",,10,Mont-de-Marsan
1.5,25,495,545,300,Naituvi,,11,Mont-de-Marsan
1.5,105,495,545,205,Even,,12,Mont-de-Marsan
1.5,200,495,545,110,Wakaya,,13,Mont-de-Marsan
1.5,275,495,545,15,"De Nardi",,14,Mont-de-Marsan
1.5,150,535,590,155,Laousse-Azpiazu,,15,Mont-de-Marsan
