picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Boniface,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsveld",,2,Bayonne
1.5,45,270,275,265,Talakai,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Luamanu,,5,Bayonne
1.5,250,180,185,35,Marchois,,6,Bayonne
1.5,45,180,185,279,Hourcade,,7,Bayonne
1.5,150,180,185,155,Amosa,,8,Bayonne
1.5,205,135,135,75,Rouet,,9,Bayonne
1.5,90,135,135,240,Lafage,,10,Bayonne
1.5,275,90,85,15,Costosseque,,11,Bayonne
1.5,195,90,85,110,Muscarditz,,12,Bayonne
1.5,100,90,85,205,Maqala,,13,Bayonne
1.5,25,90,85,300,Ravouvou,,14,Bayonne
1.5,150,50,40,155,Ordas,,15,Bayonne
1.5,45,315,355,265,Tufele,,1,Montauban
1.5,150,315,355,155,Firmin,,2,Montauban
1.5,250,315,355,50,Vaotoa,,3,Montauban
1.5,200,360,405,200,Malafosse,,4,Montauban
1.5,100,360,405,110,Manukula,,5,Montauban
1.5,45,405,450,279,Stringer,,6,Montauban
1.5,250,405,450,35,Uanivi,,7,Montauban
1.5,150,405,450,155,Quercy,(C),8,Montauban
1.5,90,450,500,240,Druart,,9,Montauban
1.5,205,450,500,75,Pourteau,,10,Montauban
1.5,25,495,545,300,Momo,,11,Montauban
1.5,105,495,545,205,Mathy,,12,Montauban
1.5,200,495,545,110,Bonnefond,,13,Montauban
1.5,275,495,545,15,Sage,,14,Montauban
1.5,150,535,590,155,Salles,,15,Montauban
