picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Cormenier,,1,Bayonne
1.5,150,270,275,155,Ulugia,,2,Bayonne
1.5,45,270,275,265,Mousset,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Luamanu,,5,Bayonne
1.5,250,180,185,35,Marchois,,6,Bayonne
1.5,45,180,185,279,Heguy,,7,Bayonne
1.5,150,180,185,155,Amosa,,8,Bayonne
1.5,205,135,135,75,Venter,,9,Bayonne
1.5,90,135,135,240,Dolhagaray,,10,Bayonne
1.5,275,90,85,15,Duhau,,11,Bayonne
1.5,195,90,85,110,David,,12,Bayonne
1.5,100,90,85,205,Muscarditz,,13,Bayonne
1.5,25,90,85,300,Ravouvou,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Abadie,,1,Narbonne
1.5,150,315,355,155,David,,2,Narbonne
1.5,250,315,355,50,Boughanmi,,3,Narbonne
1.5,200,360,405,200,Fortuin,,4,Narbonne
1.5,100,360,405,110,Kbaier,,5,Narbonne
1.5,45,405,450,279,Madaule,(C),6,Narbonne
1.5,250,405,450,35,Belzons,,7,Narbonne
1.5,150,405,450,155,Axtens,,8,Narbonne
1.5,90,450,500,240,Chaput,,9,Narbonne
1.5,205,450,500,75,Robertson,,10,Narbonne
1.5,25,495,545,300,Ducom,,11,Narbonne
1.5,105,495,545,205,Lebraud,,12,Narbonne
1.5,200,495,545,110,Maraku,,13,Narbonne
1.5,275,495,545,15,Namy,,14,Narbonne
1.5,150,535,590,155,Justes,,15,Narbonne
