picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Cormenier,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsveld",,2,Bayonne
1.5,45,270,275,265,Tatafu,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Mikautadze,,5,Bayonne
1.5,250,180,185,35,Usarraga,,6,Bayonne
1.5,45,180,185,279,Heguy,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Rouet,,9,Bayonne
1.5,90,135,135,240,Dolhagaray,,10,Bayonne
1.5,275,90,85,15,Baget,,11,Bayonne
1.5,195,90,85,110,Toeava,,12,Bayonne
1.5,100,90,85,205,Maqala,,13,Bayonne
1.5,25,90,85,300,Ravouvou,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Raynaud,(C),1,Oyonnax
1.5,150,315,355,155,Durand,,2,Oyonnax
1.5,250,315,355,50,Laclayat,,3,Oyonnax
1.5,200,360,405,200,Murday,,4,Oyonnax
1.5,100,360,405,110,Leindekar,,5,Oyonnax
1.5,45,405,450,279,Lebreton,,6,Oyonnax
1.5,250,405,450,35,Herjean,,7,Oyonnax
1.5,150,405,450,155,Grice,,8,Oyonnax
1.5,90,450,500,240,Cassang,,9,Oyonnax
1.5,205,450,500,75,Soulan,,10,Oyonnax
1.5,25,495,545,300,Reybier,,11,Oyonnax
1.5,105,495,545,205,Lovobalavu,,12,Oyonnax
1.5,200,495,545,110,Millet,,13,Oyonnax
1.5,275,495,545,15,Sweetnam,,14,Oyonnax
1.5,150,535,590,155,Callandret,,15,Oyonnax
