picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Perchaud,,1,Bayonne
1.5,150,270,275,155,Bosch,,2,Bayonne
1.5,45,270,275,265,Cotet,,3,Bayonne
1.5,200,225,225,110,Leindekar,,4,Bayonne
1.5,100,225,225,200,Ceyte,,5,Bayonne
1.5,250,180,185,35,Amosa,,6,Bayonne
1.5,45,180,185,279,Huguet,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Machenaud,,9,Bayonne
1.5,90,135,135,240,Lopez,(C),10,Bayonne
1.5,275,90,85,15,Baget,,11,Bayonne
1.5,195,90,85,110,Martocq,,12,Bayonne
1.5,100,90,85,205,Maqala,,13,Bayonne
1.5,25,90,85,300,Bogado,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Chiocci,,1,Perpignan
1.5,150,315,355,155,Lam,,2,Perpignan
1.5,250,315,355,50,Joly,,3,Perpignan
1.5,200,360,405,200,Witty,,4,Perpignan
1.5,100,360,405,110,Faasalele,,5,Perpignan
1.5,45,405,450,279,Bachelier,,6,Perpignan
1.5,250,405,450,35,Galletier,,7,Perpignan
1.5,150,405,450,155,Velarte,,8,Perpignan
1.5,90,450,500,240,Écochard,,9,Perpignan
1.5,205,450,500,75,McIntyre,,10,Perpignan
1.5,25,495,545,300,Acebes,(C),11,Perpignan
1.5,105,495,545,205,Tisley,,12,Perpignan
1.5,200,495,545,110,Taumoepeau,,13,Perpignan
1.5,275,495,545,15,Dubois,,14,Perpignan
1.5,150,535,590,155,Tedder,,15,Perpignan
