picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Boniface,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsveld",,2,Bayonne
1.5,45,270,275,265,Mousset,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Mikautadze,,5,Bayonne
1.5,250,180,185,35,Taofifenua,,6,Bayonne
1.5,45,180,185,279,Heguy,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Rouet,,9,Bayonne
1.5,90,135,135,240,Dolhagaray,,10,Bayonne
1.5,275,90,85,15,Ravouvou,,11,Bayonne
1.5,195,90,85,110,Toeava,,12,Bayonne
1.5,100,90,85,205,Maqala,,13,Bayonne
1.5,25,90,85,300,Baget,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Fournier,,1,Rouen
1.5,150,315,355,155,Bonnot,(C),2,Rouen
1.5,250,315,355,50,"N\'Diaye",,3,Rouen
1.5,200,360,405,200,Kerry,,4,Rouen
1.5,100,360,405,110,Woki,,5,Rouen
1.5,45,405,450,279,Leleu,,6,Rouen
1.5,250,405,450,35,Vincent,,7,Rouen
1.5,150,405,450,155,Fofana,,8,Rouen
1.5,90,450,500,240,Nicolas,,9,Rouen
1.5,205,450,500,75,Waite,,10,Rouen
1.5,25,495,545,300,Megdoud,,11,Rouen
1.5,105,495,545,205,Luatua,,12,Rouen
1.5,200,495,545,110,Gontineac,,13,Rouen
1.5,275,495,545,15,Surano,,14,Rouen
1.5,150,535,590,155,Lydon,,15,Rouen
