picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Cormenier,,1,Bayonne
1.5,150,270,275,155,Bosch,,2,Bayonne
1.5,45,270,275,265,Cotet,,3,Bayonne
1.5,200,225,225,110,Marchois,(C),4,Bayonne
1.5,100,225,225,200,Ceyte,,5,Bayonne
1.5,250,180,185,35,Dione,,6,Bayonne
1.5,45,180,185,279,Huguet,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Rouet,,9,Bayonne
1.5,90,135,135,240,Lopez,,10,Bayonne
1.5,275,90,85,15,Bogado,,11,Bayonne
1.5,195,90,85,110,Buliruarua,,12,Bayonne
1.5,100,90,85,205,Maqala,,13,Bayonne
1.5,25,90,85,300,Baget,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,"Ainu\'u",,1,Toulouse
1.5,150,315,355,155,Cramont,,2,Toulouse
1.5,250,315,355,50,Aldegheri,,3,Toulouse
1.5,200,360,405,200,Meafou,,4,Toulouse
1.5,100,360,405,110,Brennan,,5,Toulouse
1.5,45,405,450,279,Tolofua,,6,Toulouse
1.5,250,405,450,35,Youyoutte,,7,Toulouse
1.5,150,405,450,155,"T. Ntamack",,8,Toulouse
1.5,90,450,500,240,"A. Retière",,9,Toulouse
1.5,205,450,500,75,"E. Retière",,10,Toulouse
1.5,25,495,545,300,Bonneval,,11,Toulouse
1.5,105,495,545,205,Delibes,,12,Toulouse
1.5,200,495,545,110,Guitoune,(C),13,Toulouse
1.5,275,495,545,15,Tauzin,,14,Toulouse
1.5,150,535,590,155,Mallia,,15,Toulouse
