picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Perchaud,,1,Bayonne
1.5,150,270,275,155,"Van Jaarsveld",,2,Bayonne
1.5,45,270,275,265,Tchelidze,,3,Bayonne
1.5,200,225,225,110,Galarza,(C),4,Bayonne
1.5,100,225,225,200,Marchois,,5,Bayonne
1.5,250,180,185,35,Usarraga,,6,Bayonne
1.5,45,180,185,279,Taofifenua,,7,Bayonne
1.5,150,180,185,155,Cassiem,,8,Bayonne
1.5,205,135,135,75,Rouet,,9,Bayonne
1.5,90,135,135,240,Lafage,,10,Bayonne
1.5,275,90,85,15,Duhau,,11,Bayonne
1.5,195,90,85,110,Toeava,,12,Bayonne
1.5,100,90,85,205,David,,13,Bayonne
1.5,25,90,85,300,Baget,,14,Bayonne
1.5,150,50,40,155,Germain,,15,Bayonne
1.5,45,315,355,265,Abraham,,1,Vannes
1.5,150,315,355,155,Rossi,,2,Vannes
1.5,250,315,355,50,Tafili,,3,Vannes
1.5,200,360,405,200,Barry,,4,Vannes
1.5,100,360,405,110,Edwards,,5,Vannes
1.5,45,405,450,279,Abiven,(C),6,Vannes
1.5,250,405,450,35,Gorrissen,,7,Vannes
1.5,150,405,450,155,Boulier,,8,Vannes
1.5,90,450,500,240,Saseras,,9,Vannes
1.5,205,450,500,75,Hilsenbeck,,10,Vannes
1.5,25,495,545,300,Dubreuil,,11,Vannes
1.5,105,495,545,205,Burgaud,,12,Vannes
1.5,200,495,545,110,Freitas,,13,Vannes
1.5,275,495,545,15,Gratien,,14,Vannes
1.5,150,535,590,155,Borie,,15,Vannes
