picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Fernandes,,1,Béziers
1.5,150,270,275,155,"Pinto Ferrer",,2,Béziers
1.5,45,270,275,265,Zabala,,3,Béziers
1.5,200,225,225,110,Bitz,,4,Béziers
1.5,100,225,225,200,Maamry,,5,Béziers
1.5,250,180,185,35,Barrère,(C),6,Béziers
1.5,45,180,185,279,Benoy,,7,Béziers
1.5,150,180,185,155,Koen,,8,Béziers
1.5,205,135,135,75,Valentine,,9,Béziers
1.5,90,135,135,240,Uruty,,10,Béziers
1.5,275,90,85,15,Plazy,,11,Béziers
1.5,195,90,85,110,Recor,,12,Béziers
1.5,100,90,85,205,Espeut,,13,Béziers
1.5,25,90,85,300,Courtaud,,14,Béziers
1.5,150,50,40,155,Malié,,15,Béziers
1.5,45,315,355,265,Guion,,1,Agen
1.5,150,315,355,155,Bregvadze,,2,Agen
1.5,250,315,355,50,Desmaison,,3,Agen
1.5,200,360,405,200,Vernet,,4,Agen
1.5,100,360,405,110,Salmon,,5,Agen
1.5,45,405,450,279,Gérondeau,(C),6,Agen
1.5,250,405,450,35,Nollet,,7,Agen
1.5,150,405,450,155,Lokotui,,8,Agen
1.5,90,450,500,240,Idjellidaine,,9,Agen
1.5,205,450,500,75,Vincent,,10,Agen
1.5,25,495,545,300,Odinga,,11,Agen
1.5,105,495,545,205,Ramoka,,12,Agen
1.5,200,495,545,110,Sloan,,13,Agen
1.5,275,495,545,15,Railevu,,14,Agen
1.5,150,535,590,155,Tolot,,15,Agen
