picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Fernandes,,1,Béziers
1.5,150,270,275,155,"Pinto Ferrer",,2,Béziers
1.5,45,270,275,265,"Arrieta Zabala",,3,Béziers
1.5,200,225,225,110,Bitz,,4,Béziers
1.5,100,225,225,200,Madigan,,5,Béziers
1.5,250,180,185,35,Barrère,(C),6,Béziers
1.5,45,180,185,279,Benoy,,7,Béziers
1.5,150,180,185,155,Koen,,8,Béziers
1.5,205,135,135,75,Valentine,,9,Béziers
1.5,90,135,135,240,Uruty,,10,Béziers
1.5,275,90,85,15,Plazy,,11,Béziers
1.5,195,90,85,110,Recor,,12,Béziers
1.5,100,90,85,205,Espeut,,13,Béziers
1.5,25,90,85,300,Courtaud,,14,Béziers
1.5,150,50,40,155,Malié,,15,Béziers
1.5,45,315,355,265,Perchaud,,1,Bayonne
1.5,150,315,355,155,Delonca,,2,Bayonne
1.5,250,315,355,50,Tatafu,,3,Bayonne
1.5,200,360,405,200,Usarraga,,4,Bayonne
1.5,100,360,405,110,Mikautadze,,5,Bayonne
1.5,45,405,450,279,Taofifenua,,6,Bayonne
1.5,250,405,450,35,Heguy,,7,Bayonne
1.5,150,405,450,155,Cassiem,,8,Bayonne
1.5,90,450,500,240,Zabalza,,9,Bayonne
1.5,205,450,500,75,Dolhagaray,,10,Bayonne
1.5,25,495,545,300,Maqala,,11,Bayonne
1.5,105,495,545,205,Lestrade,,12,Bayonne
1.5,200,495,545,110,Muscarditz,(C),13,Bayonne
1.5,275,495,545,15,Jacquelain,,14,Bayonne
1.5,150,535,590,155,Baget,,15,Bayonne
