picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Millar,(C),1,Biarritz
1.5,150,270,275,155,Sauveterre,,2,Biarritz
1.5,45,270,275,265,Tchelidze,,3,Biarritz
1.5,200,225,225,110,Aliouat,,4,Biarritz
1.5,100,225,225,200,Dyer,,5,Biarritz
1.5,250,180,185,35,Augry,,6,Biarritz
1.5,45,180,185,279,Dixon,,7,Biarritz
1.5,150,180,185,155,Jalagonia,,8,Biarritz
1.5,205,135,135,75,Aurrekoetxea,,9,Biarritz
1.5,90,135,135,240,Germain,,10,Biarritz
1.5,275,90,85,15,Barry,,11,Biarritz
1.5,195,90,85,110,Cadot,,12,Biarritz
1.5,100,90,85,205,Perreaux,,13,Biarritz
1.5,25,90,85,300,Speight,,14,Biarritz
1.5,150,50,40,155,Jonas,,15,Biarritz
1.5,45,315,355,265,Barrington,,1,Agen
1.5,150,315,355,155,Sosene-Feagai,,2,Agen
1.5,250,315,355,50,Burin,,3,Agen
1.5,200,360,405,200,Maksymiw,,4,Agen
1.5,100,360,405,110,Demotte,(C),5,Agen
1.5,45,405,450,279,Erbani,,6,Agen
1.5,250,405,450,35,Olmstead,,7,Agen
1.5,150,405,450,155,Devergie,,8,Agen
1.5,90,450,500,240,Bellot,,9,Agen
1.5,205,450,500,75,Vincent,,10,Agen
1.5,25,495,545,300,Etcheverry,,11,Agen
1.5,105,495,545,205,Sloan,,12,Agen
1.5,200,495,545,110,Lafond,,13,Agen
1.5,275,495,545,15,Tolot,,14,Agen
1.5,150,535,590,155,Buttin,,15,Agen
