picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"Didier Dubourg",(C),1,Biarritz
1.5,150,270,275,155,"Didier Dubourg",,2,Biarritz
1.5,45,270,275,265,"Didier Dubourg",,3,Biarritz
1.5,200,225,225,110,"Didier Dubourg",,4,Biarritz
1.5,100,225,225,200,"Didier Dubourg",,5,Biarritz
1.5,250,180,185,35,"Didier Dubourg",,6,Biarritz
1.5,45,180,185,279,"Didier Dubourg",,7,Biarritz
1.5,150,180,185,155,"Didier Dubourg",,8,Biarritz
1.5,205,135,135,75,"Didier Dubourg",,9,Biarritz
1.5,90,135,135,240,"Didier Dubourg",,10,Biarritz
1.5,275,90,85,15,"Didier Dubourg",,11,Biarritz
1.5,195,90,85,110,"Didier Dubourg",,12,Biarritz
1.5,100,90,85,205,"Didier Dubourg",,13,Biarritz
1.5,25,90,85,300,"Didier Dubourg",,14,Biarritz
1.5,150,50,40,155,"Jean-Claude Dubourg",,15,Biarritz
1.5,45,315,355,265,"Jean-Claude Dubourg",(C),1,Bordeaux-Bègles
1.5,150,315,355,155,"Jean-Claude Dubourg",,2,Bordeaux-Bègles
1.5,250,315,355,50,"Jean-Claude Dubourg",,3,Bordeaux-Bègles
1.5,200,360,405,200,"Jean-Claude Dubourg",,4,Bordeaux-Bègles
1.5,100,360,405,110,"Jean-Claude Dubourg",,5,Bordeaux-Bègles
1.5,45,405,450,279,"Jean-Claude Dubourg",,6,Bordeaux-Bègles
1.5,250,405,450,35,"Jean-Claude Dubourg",,7,Bordeaux-Bègles
1.5,150,405,450,155,"Jean-Claude Dubourg",,8,Bordeaux-Bègles
1.5,90,450,500,240,"Jean-Claude Dubourg",,9,Bordeaux-Bègles
1.5,205,450,500,75,"Jean-Claude Dubourg",,10,Bordeaux-Bègles
1.5,25,495,545,300,"Jean-Claude Dubourg",,11,Bordeaux-Bègles
1.5,105,495,545,205,"Jean-Claude Dubourg",,12,Bordeaux-Bègles
1.5,200,495,545,110,"Jean-Claude Dubourg",,13,Bordeaux-Bègles
1.5,275,495,545,15,"Jean-Claude Dubourg",,14,Bordeaux-Bègles
1.5,150,535,590,155,"Jean-Claude Dubourg",,15,Bordeaux-Bègles
