picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Erdocio,,1,Biarritz
1.5,150,270,275,155,Sauveterre,,2,Biarritz
1.5,45,270,275,265,Millar,(C),3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Tyrell,,5,Biarritz
1.5,250,180,185,35,Francoz,,6,Biarritz
1.5,45,180,185,279,Dixon,,7,Biarritz
1.5,150,180,185,155,Jalagonia,,8,Biarritz
1.5,205,135,135,75,Couilloud,,9,Biarritz
1.5,90,135,135,240,Bosch,,10,Biarritz
1.5,275,90,85,15,Barry,,11,Biarritz
1.5,195,90,85,110,Cadot,,12,Biarritz
1.5,100,90,85,205,Morgan,,13,Biarritz
1.5,25,90,85,300,Speight,,14,Biarritz
1.5,150,50,40,155,Jonas,,15,Biarritz
1.5,45,315,355,265,Amrouni,,1,Carcassonne
1.5,150,315,355,155,Carbou,,2,Carcassonne
1.5,250,315,355,50,Akhobadze,,3,Carcassonne
1.5,200,360,405,200,Manchia,,4,Carcassonne
1.5,100,360,405,110,Landman,,5,Carcassonne
1.5,45,405,450,279,Harley,,6,Carcassonne
1.5,250,405,450,35,Meka,,7,Carcassonne
1.5,150,405,450,155,Agaba,,8,Carcassonne
1.5,90,450,500,240,Marques,,9,Carcassonne
1.5,205,450,500,75,Mouchous,,10,Carcassonne
1.5,25,495,545,300,Darrelatour,,11,Carcassonne
1.5,105,495,545,205,Plessis,,12,Carcassonne
1.5,200,495,545,110,Dulon,,13,Carcassonne
1.5,275,495,545,15,Marty,,14,Carcassonne
1.5,150,535,590,155,Clavières,,15,Carcassonne
