picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Erdocio,,1,Biarritz
1.5,150,270,275,155,Peyresblanques,(C),2,Biarritz
1.5,45,270,275,265,"El Fakir",,3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Olmstead,,5,Biarritz
1.5,250,180,185,35,"O\'Callaghan",,6,Biarritz
1.5,45,180,185,279,Hirigoyen,,7,Biarritz
1.5,150,180,185,155,Dixon,,8,Biarritz
1.5,205,135,135,75,Couilloud,,9,Biarritz
1.5,90,135,135,240,Herron,,10,Biarritz
1.5,275,90,85,15,Domvo,,11,Biarritz
1.5,195,90,85,110,Plessis-Couillaud,,12,Biarritz
1.5,100,90,85,205,Kuridrani,,13,Biarritz
1.5,25,90,85,300,Speight,,14,Biarritz
1.5,150,50,40,155,Lucu,,15,Biarritz
1.5,45,315,355,265,Tichit,,1,Castres
1.5,150,315,355,155,Ngauamo,,2,Castres
1.5,250,315,355,50,Hounkpatin,,3,Castres
1.5,200,360,405,200,Vanverberghe,,4,Castres
1.5,100,360,405,110,Staniforth,,5,Castres
1.5,45,405,450,279,Babillot,(C),6,Castres
1.5,250,405,450,35,"De Crespigny",,7,Castres
1.5,150,405,450,155,"Ben Nicholas",,8,Castres
1.5,90,450,500,240,Arata,,9,Castres
1.5,205,450,500,75,Urdapilleta,,10,Castres
1.5,25,495,545,300,Nakosi,,11,Castres
1.5,105,495,545,205,Botitu,,12,Castres
1.5,200,495,545,110,Combezou,,13,Castres
1.5,275,495,545,15,Laveau,,14,Castres
1.5,150,535,590,155,Palis,,15,Castres
