picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Erdocio,,1,Biarritz
1.5,150,270,275,155,"Da Ros",,2,Biarritz
1.5,45,270,275,265,"El Fakir",,3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Olmstead,,5,Biarritz
1.5,250,180,185,35,Dixon,,6,Biarritz
1.5,45,180,185,279,Hirigoyen,,7,Biarritz
1.5,150,180,185,155,"Armitage ",(C),8,Biarritz
1.5,205,135,135,75,Couilloud,,9,Biarritz
1.5,90,135,135,240,Bosch,,10,Biarritz
1.5,275,90,85,15,Barry,,11,Biarritz
1.5,195,90,85,110,Plessis-Couillaud,,12,Biarritz
1.5,100,90,85,205,Kuridrani,,13,Biarritz
1.5,25,90,85,300,Martin,,14,Biarritz
1.5,150,50,40,155,Lucu,,15,Biarritz
1.5,45,315,355,265,Beria,,1,Clermont
1.5,150,315,355,155,Fourcade,,2,Clermont
1.5,250,315,355,50,Ojovan,,3,Clermont
1.5,200,360,405,200,Lanen,,4,Clermont
1.5,100,360,405,110,Vahaamahina,(C),5,Clermont
1.5,45,405,450,279,Cancoriet,,6,Clermont
1.5,250,405,450,35,"Van Tonder",,7,Clermont
1.5,150,405,450,155,Lee,,8,Clermont
1.5,90,450,500,240,Bezy,,9,Clermont
1.5,205,450,500,75,Lopez,,10,Clermont
1.5,25,495,545,300,Barraque,,11,Clermont
1.5,105,495,545,205,Penaud,,12,Clermont
1.5,200,495,545,110,Vili,,13,Clermont
1.5,275,495,545,15,"O\'Connor",,14,Clermont
1.5,150,535,590,155,Tiberghien,,15,Clermont
