picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Millar,,1,Biarritz
1.5,150,270,275,155,Renaud,,2,Biarritz
1.5,45,270,275,265,Azariashvili,,3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Cramond,,5,Biarritz
1.5,250,180,185,35,Dixon,,6,Biarritz
1.5,45,180,185,279,Hirigoyen,,7,Biarritz
1.5,150,180,185,155,Armitage,(C),8,Biarritz
1.5,205,135,135,75,"Bar. Couilloud",,9,Biarritz
1.5,90,135,135,240,Herron,,10,Biarritz
1.5,275,90,85,15,Speight,,11,Biarritz
1.5,195,90,85,110,Saili,,12,Biarritz
1.5,100,90,85,205,Kuridrani,,13,Biarritz
1.5,25,90,85,300,Martin,,14,Biarritz
1.5,150,50,40,155,Lonca,,15,Biarritz
1.5,45,315,355,265,Kaabeche,,1,Lyon
1.5,150,315,355,155,Marchand,,2,Lyon
1.5,250,315,355,50,"Gomez Kodela",,3,Lyon
1.5,200,360,405,200,Lambey,,4,Lyon
1.5,100,360,405,110,Taofifenua,,5,Lyon
1.5,45,405,450,279,Goujon,,6,Lyon
1.5,250,405,450,35,Saginadze,,7,Lyon
1.5,150,405,450,155,Sobela,,8,Lyon
1.5,90,450,500,240,"Bap. Couilloud",(C),9,Lyon
1.5,205,450,500,75,Doussain,,10,Lyon
1.5,25,495,545,300,Dumortier,,11,Lyon
1.5,105,495,545,205,Regard,,12,Lyon
1.5,200,495,545,110,Parisien,,13,Lyon
1.5,275,495,545,15,Mignot,,14,Lyon
1.5,150,535,590,155,Laporte,,15,Lyon
