picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Millar,(C),1,Biarritz
1.5,150,270,275,155,Sauveterre,,2,Biarritz
1.5,45,270,275,265,Tabidze,,3,Biarritz
1.5,200,225,225,110,Aliouat,,4,Biarritz
1.5,100,225,225,200,Dyer,,5,Biarritz
1.5,250,180,185,35,Francoz,,6,Biarritz
1.5,45,180,185,279,Augry,,7,Biarritz
1.5,150,180,185,155,Jalagonia,,8,Biarritz
1.5,205,135,135,75,Germain,,9,Biarritz
1.5,90,135,135,240,Herron,,10,Biarritz
1.5,275,90,85,15,Barry,,11,Biarritz
1.5,195,90,85,110,Tomane,,12,Biarritz
1.5,100,90,85,205,Morgan,,13,Biarritz
1.5,25,90,85,300,Speight,,14,Biarritz
1.5,150,50,40,155,Lonca,,15,Biarritz
1.5,45,315,355,265,Curie,,1,Mont-de-Marsan
1.5,150,315,355,155,Labouyrie,,2,Mont-de-Marsan
1.5,250,315,355,50,Gajion,,3,Mont-de-Marsan
1.5,200,360,405,200,Ostrikov,,4,Mont-de-Marsan
1.5,100,360,405,110,Cedaro,,5,Mont-de-Marsan
1.5,45,405,450,279,Brethous,,6,Mont-de-Marsan
1.5,250,405,450,35,Banos,,7,Mont-de-Marsan
1.5,150,405,450,155,Faleafa,,8,Mont-de-Marsan
1.5,90,450,500,240,Doan,,9,Mont-de-Marsan
1.5,205,450,500,75,"Du Plessis",(C),10,Mont-de-Marsan
1.5,25,495,545,300,Natuivi,,11,Mont-de-Marsan
1.5,105,495,545,205,Even,,12,Mont-de-Marsan
1.5,200,495,545,110,Curtis,,13,Mont-de-Marsan
1.5,275,495,545,15,Sayerse,,14,Mont-de-Marsan
1.5,150,535,590,155,Laousse-Azpiazu,,15,Mont-de-Marsan
