picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Cronin,,1,Biarritz
1.5,150,270,275,155,"Da Ros",,2,Biarritz
1.5,45,270,275,265,Nutsubidze,,3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Olmstead,,5,Biarritz
1.5,250,180,185,35,Dixon,,6,Biarritz
1.5,45,180,185,279,"O\'Callaghan",,7,Biarritz
1.5,150,180,185,155,Jalagonia,,8,Biarritz
1.5,205,135,135,75,Couilloud,,9,Biarritz
1.5,90,135,135,240,"Herron ",,10,Biarritz
1.5,275,90,85,15,Domvo,,11,Biarritz
1.5,195,90,85,110,Saili,,12,Biarritz
1.5,100,90,85,205,Kuridrani,,13,Biarritz
1.5,25,90,85,300,Stark,,14,Biarritz
1.5,150,50,40,155,Lonca,(C),15,Biarritz
1.5,45,315,355,265,Forletta,,1,Montpellier
1.5,150,315,355,155,Paenga-Amosa,,2,Montpellier
1.5,250,315,355,50,Haouas,,3,Montpellier
1.5,200,360,405,200,Chalureau,,4,Montpellier
1.5,100,360,405,110,Willemse,,5,Montpellier
1.5,45,405,450,279,"Van Rensburg",,6,Montpellier
1.5,250,405,450,35,Camara,(C),7,Montpellier
1.5,150,405,450,155,Mercer,,8,Montpellier
1.5,90,450,500,240,Reinach,,9,Montpellier
1.5,205,450,500,75,Garbisi,,10,Montpellier
1.5,25,495,545,300,Rattez,,11,Montpellier
1.5,105,495,545,205,Pollard,,12,Montpellier
1.5,200,495,545,110,Serfontein,,13,Montpellier
1.5,275,495,545,15,Tisseron,,14,Montpellier
1.5,150,535,590,155,Bouthier,,15,Montpellier
