picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Erdocio,,1,Biarritz
1.5,150,270,275,155,Renaud,,2,Biarritz
1.5,45,270,275,265,Millar,(C),3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Tyrell,,5,Biarritz
1.5,250,180,185,35,"O\'Callaghan",,6,Biarritz
1.5,45,180,185,279,Augry,,7,Biarritz
1.5,150,180,185,155,Jalagonia,,8,Biarritz
1.5,205,135,135,75,Couilloud,,9,Biarritz
1.5,90,135,135,240,Bosch,,10,Biarritz
1.5,275,90,85,15,Barry,,11,Biarritz
1.5,195,90,85,110,Tomane,,12,Biarritz
1.5,100,90,85,205,Perraux,,13,Biarritz
1.5,25,90,85,300,Speight,,14,Biarritz
1.5,150,50,40,155,Lonca,,15,Biarritz
1.5,45,315,355,265,Raynaud,(C),1,Oyonnax
1.5,150,315,355,155,Durand,,2,Oyonnax
1.5,250,315,355,50,Berthaud,,3,Oyonnax
1.5,200,360,405,200,Lebas,,4,Oyonnax
1.5,100,360,405,110,Battye,,5,Oyonnax
1.5,45,405,450,279,Lebreton,,6,Oyonnax
1.5,250,405,450,35,Credoz,,7,Oyonnax
1.5,150,405,450,155,Grice,,8,Oyonnax
1.5,90,450,500,240,Cassang,,9,Oyonnax
1.5,205,450,500,75,Bouraux,,10,Oyonnax
1.5,25,495,545,300,Reybier,,11,Oyonnax
1.5,105,495,545,205,Millet,,12,Oyonnax
1.5,200,495,545,110,Vialelle,,13,Oyonnax
1.5,275,495,545,15,Ravouvou,,14,Oyonnax
1.5,150,535,590,155,Ensor,,15,Oyonnax
