picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Cronin,,1,Biarritz
1.5,150,270,275,155,Soury,,2,Biarritz
1.5,45,270,275,265,Nutsubidze,,3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Tyrell,,5,Biarritz
1.5,250,180,185,35,"O Callaghan",,6,Biarritz
1.5,45,180,185,279,Hirigoyen,,7,Biarritz
1.5,150,180,185,155,Jalagonia,,8,Biarritz
1.5,205,135,135,75,Cubelli,,9,Biarritz
1.5,90,135,135,240,Perraux,(C),10,Biarritz
1.5,275,90,85,15,Speight,,11,Biarritz
1.5,195,90,85,110,Saili,,12,Biarritz
1.5,100,90,85,205,Kuridrani,,13,Biarritz
1.5,25,90,85,300,Stark,,14,Biarritz
1.5,150,50,40,155,Jonas,,15,Biarritz
1.5,45,315,355,265,Lotrian,,1,Perpignan
1.5,150,315,355,155,Velarte,,2,Perpignan
1.5,250,315,355,50,Halanukonuka,,3,Perpignan
1.5,200,360,405,200,Labouteley,,4,Perpignan
1.5,100,360,405,110,Cavubati,,5,Perpignan
1.5,45,405,450,279,Ugena,,6,Perpignan
1.5,250,405,450,35,Chouly,,7,Perpignan
1.5,150,405,450,155,"Mamea Lemalu",,8,Perpignan
1.5,90,450,500,240,Ecochard,,9,Perpignan
1.5,205,450,500,75,Tedder,,10,Perpignan
1.5,25,495,545,300,Acebes,(C),11,Perpignan
1.5,105,495,545,205,"De la Fuente",,12,Perpignan
1.5,200,495,545,110,Taumoepeau,,13,Perpignan
1.5,275,495,545,15,Duguivalu,,14,Perpignan
1.5,150,535,590,155,Jaminet,,15,Perpignan
