picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Cronin,,1,Biarritz
1.5,150,270,275,155,Soury,,2,Biarritz
1.5,45,270,275,265,Millar,,3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,Tyrell,,5,Biarritz
1.5,250,180,185,35,Dixon,,6,Biarritz
1.5,45,180,185,279,Hirigoyen,,7,Biarritz
1.5,150,180,185,155,Jalagonia,,8,Biarritz
1.5,205,135,135,75,Cubelli,,9,Biarritz
1.5,90,135,135,240,Herron,,10,Biarritz
1.5,275,90,85,15,Speight,,11,Biarritz
1.5,195,90,85,110,Saili,,12,Biarritz
1.5,100,90,85,205,Perraux,(C),13,Biarritz
1.5,25,90,85,300,Stark,,14,Biarritz
1.5,150,50,40,155,Jonas,,15,Biarritz
1.5,45,315,355,265,M.Alo-Emile,,1,"Stade Français"
1.5,150,315,355,155,Latu,,2,"Stade Français"
1.5,250,315,355,50,Melikidze,,3,"Stade Français"
1.5,200,360,405,200,Gabrillagues,(C),4,"Stade Français"
1.5,100,360,405,110,Azagoh,,5,"Stade Français"
1.5,45,405,450,279,Burban,,6,"Stade Français"
1.5,250,405,450,35,Briatte,,7,"Stade Français"
1.5,150,405,450,155,Godener,,8,"Stade Français"
1.5,90,450,500,240,Coville,,9,"Stade Français"
1.5,205,450,500,75,Segonds,,10,"Stade Français"
1.5,25,495,545,300,Etien,,11,"Stade Français"
1.5,105,495,545,205,Arrate,,12,"Stade Français"
1.5,200,495,545,110,Laumape,,13,"Stade Français"
1.5,275,495,545,15,Veainu,,14,"Stade Français"
1.5,150,535,590,155,Hamdaoui,,15,"Stade Français"
