picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Cronin,,1,Biarritz
1.5,150,270,275,155,Peyresblanques,,2,Biarritz
1.5,45,270,275,265,Nutsubidze,,3,Biarritz
1.5,200,225,225,110,Dyer,,4,Biarritz
1.5,100,225,225,200,"O\'Callaghan",,5,Biarritz
1.5,250,180,185,35,Dixon,,6,Biarritz
1.5,45,180,185,279,Hirigoyen,,7,Biarritz
1.5,150,180,185,155,Jalagonia,,8,Biarritz
1.5,205,135,135,75,Cubelli,,9,Biarritz
1.5,90,135,135,240,Herron,,10,Biarritz
1.5,275,90,85,15,Barry,,11,Biarritz
1.5,195,90,85,110,Saili,,12,Biarritz
1.5,100,90,85,205,Kuridrani,,13,Biarritz
1.5,25,90,85,300,Stark,,14,Biarritz
1.5,150,50,40,155,Lonca,(C),15,Biarritz
1.5,45,315,355,265,Devaux,,1,Toulon
1.5,150,315,355,155,Tolofua,,2,Toulon
1.5,250,315,355,50,Gigashvili,,3,Toulon
1.5,200,360,405,200,Rebbadj,,4,Toulon
1.5,100,360,405,110,"Alainu\'uese",,5,Toulon
1.5,45,405,450,279,"Du Preez",,6,Toulon
1.5,250,405,450,35,Lakafia,,7,Toulon
1.5,150,405,450,155,Parisse,,8,Toulon
1.5,90,450,500,240,Serin,(C),9,Toulon
1.5,205,450,500,75,Carbonel,,10,Toulon
1.5,25,495,545,300,Kolbe,,11,Toulon
1.5,105,495,545,205,"Paia\'aua",,12,Toulon
1.5,200,495,545,110,Heriteau,,13,Toulon
1.5,275,495,545,15,Cordin,,14,Toulon
1.5,150,535,590,155,Luc,,15,Toulon
