picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,vv,,1,Bordeaux-Bègles
1.5,150,270,275,155,vv,,2,Bordeaux-Bègles
1.5,45,270,275,265,vv,,3,Bordeaux-Bègles
1.5,200,225,225,110,vv,,4,Bordeaux-Bègles
1.5,100,225,225,200,vv,,5,Bordeaux-Bègles
1.5,250,180,185,35,vv,,6,Bordeaux-Bègles
1.5,45,180,185,279,vv,,7,Bordeaux-Bègles
1.5,150,180,185,155,vv,,8,Bordeaux-Bègles
1.5,205,135,135,75,vv,,9,Bordeaux-Bègles
1.5,90,135,135,240,vv,(C),10,Bordeaux-Bègles
1.5,275,90,85,15,vv,,11,Bordeaux-Bègles
1.5,195,90,85,110,vv,,12,Bordeaux-Bègles
1.5,100,90,85,205,vv,,13,Bordeaux-Bègles
1.5,25,90,85,300,vv,,14,Bordeaux-Bègles
1.5,150,50,40,155,vv,,15,Bordeaux-Bègles
1.5,45,315,355,265,vv,,1,Bath
1.5,150,315,355,155,vv,,2,Bath
1.5,250,315,355,50,vv,,3,Bath
1.5,200,360,405,200,vv,,4,Bath
1.5,100,360,405,110,vv,,5,Bath
1.5,45,405,450,279,vv,,6,Bath
1.5,250,405,450,35,vv,,7,Bath
1.5,150,405,450,155,vv,,8,Bath
1.5,90,450,500,240,vv,,9,Bath
1.5,205,450,500,75,vv,,10,Bath
1.5,25,495,545,300,vv,,11,Bath
1.5,105,495,545,205,vv,(C),12,Bath
1.5,200,495,545,110,vv,,13,Bath
1.5,275,495,545,15,vv,,14,Bath
1.5,150,535,590,155,vv,,15,Bath
