picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Poirot,(C),1,Bordeaux-Bègles
1.5,150,270,275,155,Maynadier,,2,Bordeaux-Bègles
1.5,45,270,275,265,Tameifuna,,3,Bordeaux-Bègles
1.5,200,225,225,110,Jolmes,,4,Bordeaux-Bègles
1.5,100,225,225,200,Cazeaux,,5,Bordeaux-Bègles
1.5,250,180,185,35,Woki,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,,7,Bordeaux-Bègles
1.5,150,180,185,155,Picamoles,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lesgourgues,,9,Bordeaux-Bègles
1.5,90,135,135,240,Jalibert,,10,Bordeaux-Bègles
1.5,275,90,85,15,Lam,,11,Bordeaux-Bègles
1.5,195,90,85,110,Moefana,,12,Bordeaux-Bègles
1.5,100,90,85,205,Dubié,,13,Bordeaux-Bègles
1.5,25,90,85,300,Mori,,14,Bordeaux-Bègles
1.5,150,50,40,155,Buros,,15,Bordeaux-Bègles
1.5,45,315,355,265,Brennan,,1,Brive
1.5,150,315,355,155,Narisia,,2,Brive
1.5,250,315,355,50,Bekoshvili,,3,Brive
1.5,200,360,405,200,Lebas,,4,Brive
1.5,100,360,405,110,Ratuva,,5,Brive
1.5,45,405,450,279,R.Marais,,6,Brive
1.5,250,405,450,35,Giorgadze,,7,Brive
1.5,150,405,450,155,Kamikamica,,8,Brive
1.5,90,450,500,240,Lobzhanidze,,9,Brive
1.5,205,450,500,75,Abzhandadze,,10,Brive
1.5,25,495,545,300,Tuicuvu,,11,Brive
1.5,105,495,545,205,Galala,,12,Brive
1.5,200,495,545,110,Douglas,,13,Brive
1.5,275,495,545,15,Tournebize,,14,Brive
1.5,150,535,590,155,Laranjeira,(C),15,Brive
