picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Poirot,(C),1,Bordeaux-Bègles
1.5,150,270,275,155,Lamothe,,2,Bordeaux-Bègles
1.5,45,270,275,265,Cobilas,,3,Bordeaux-Bègles
1.5,200,225,225,110,Jolmes,,4,Bordeaux-Bègles
1.5,100,225,225,200,Cazeaux,,5,Bordeaux-Bègles
1.5,250,180,185,35,Vergnes,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,,7,Bordeaux-Bègles
1.5,150,180,185,155,Miquel,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lucu,,9,Bordeaux-Bègles
1.5,90,135,135,240,Jalibert,,10,Bordeaux-Bègles
1.5,275,90,85,15,Mori,,11,Bordeaux-Bègles
1.5,195,90,85,110,Lamerat,,12,Bordeaux-Bègles
1.5,100,90,85,205,Uberti,,13,Bordeaux-Bègles
1.5,25,90,85,300,Moefana,,14,Bordeaux-Bègles
1.5,150,50,40,155,Buros,,15,Bordeaux-Bègles
1.5,45,315,355,265,Tichit,(C),1,Castres
1.5,150,315,355,155,Ngauamo,,2,Castres
1.5,250,315,355,50,Hounkpatin,,3,Castres
1.5,200,360,405,200,Maravat,,4,Castres
1.5,100,360,405,110,Staniforth,,5,Castres
1.5,45,405,450,279,"De Crespigny",,6,Castres
1.5,250,405,450,35,Usarraga,,7,Castres
1.5,150,405,450,155,"Ben Nicholas",,8,Castres
1.5,90,450,500,240,Arata,,9,Castres
1.5,205,450,500,75,Botica,,10,Castres
1.5,25,495,545,300,Nakosi,,11,Castres
1.5,105,495,545,205,Séguret,,12,Castres
1.5,200,495,545,110,Cocagi,,13,Castres
1.5,275,495,545,15,Laveau,,14,Castres
1.5,150,535,590,155,Palis,,15,Castres
