picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Paiva,,1,Bordeaux-Bègles
1.5,150,270,275,155,Lamothe,,2,Bordeaux-Bègles
1.5,45,270,275,265,Cobilas,,3,Bordeaux-Bègles
1.5,200,225,225,110,Douglas,,4,Bordeaux-Bègles
1.5,100,225,225,200,Marais,,5,Bordeaux-Bègles
1.5,250,180,185,35,Vergnes,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,(C),7,Bordeaux-Bègles
1.5,150,180,185,155,Roumat,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lucu,,9,Bordeaux-Bègles
1.5,90,135,135,240,Jalibert,,10,Bordeaux-Bègles
1.5,275,90,85,15,Lam,,11,Bordeaux-Bègles
1.5,195,90,85,110,Moefana,,12,Bordeaux-Bègles
1.5,100,90,85,205,Seuteni,,13,Bordeaux-Bègles
1.5,25,90,85,300,Cordero,,14,Bordeaux-Bègles
1.5,150,50,40,155,Buros,,15,Bordeaux-Bègles
1.5,45,315,355,265,Rey,,1,Lyon
1.5,150,315,355,155,Ivaldi,,2,Lyon
1.5,250,315,355,50,Gomez-Kodela,,3,Lyon
1.5,200,360,405,200,Lambey,,4,Lyon
1.5,100,360,405,110,Mayanavanua,,5,Lyon
1.5,45,405,450,279,"Fainga\'a",,6,Lyon
1.5,250,405,450,35,Sobela,(C),7,Lyon
1.5,150,405,450,155,Goujon,,8,Lyon
1.5,90,450,500,240,Couilloud,,9,Lyon
1.5,205,450,500,75,Berdeu,,10,Lyon
1.5,25,495,545,300,Nakaïtaci,,11,Lyon
1.5,105,495,545,205,Regard,,12,Lyon
1.5,200,495,545,110,Tuisova,,13,Lyon
1.5,275,495,545,15,Mignot,,14,Lyon
1.5,150,535,590,155,Laporte,,15,Lyon
