picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Poirot,(C),1,Bordeaux-Bègles
1.5,150,270,275,155,Dweba,,2,Bordeaux-Bègles
1.5,45,270,275,265,Cobilas,,3,Bordeaux-Bègles
1.5,200,225,225,110,Douglas,,4,Bordeaux-Bègles
1.5,100,225,225,200,Jolmes,,5,Bordeaux-Bègles
1.5,250,180,185,35,Roumat,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,,7,Bordeaux-Bègles
1.5,150,180,185,155,Picamoles,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lesgourgues,,9,Bordeaux-Bègles
1.5,90,135,135,240,Jalibert,,10,Bordeaux-Bègles
1.5,275,90,85,15,Cordero,,11,Bordeaux-Bègles
1.5,195,90,85,110,Lamerat,,12,Bordeaux-Bègles
1.5,100,90,85,205,Dubié,,13,Bordeaux-Bègles
1.5,25,90,85,300,Cros,,14,Bordeaux-Bègles
1.5,150,50,40,155,Bielle-Biarrey,,15,Bordeaux-Bègles
1.5,45,315,355,265,Calles,,1,Pau
1.5,150,315,355,155,Delhommel,,2,Pau
1.5,250,315,355,50,Tokolahi,,3,Pau
1.5,200,360,405,200,Ramsay,,4,Pau
1.5,100,360,405,110,Tagitagivalu,,5,Pau
1.5,45,405,450,279,Gorgadze,,6,Pau
1.5,250,405,450,35,Puech,,7,Pau
1.5,150,405,450,155,Joseph,,8,Pau
1.5,90,450,500,240,Daubagna,(C),9,Pau
1.5,205,450,500,75,Debaes,,10,Pau
1.5,25,495,545,300,Colombet,,11,Pau
1.5,105,495,545,205,Manu,,12,Pau
1.5,200,495,545,110,Roudil,,13,Pau
1.5,275,495,545,15,Barrett,,14,Pau
1.5,150,535,590,155,Hastoy,,15,Pau
