picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Paiva,,1,Bordeaux-Bègles
1.5,150,270,275,155,Lamothe,,2,Bordeaux-Bègles
1.5,45,270,275,265,Tameifuna,,3,Bordeaux-Bègles
1.5,200,225,225,110,Douglas,,4,Bordeaux-Bègles
1.5,100,225,225,200,Cazeaux,,5,Bordeaux-Bègles
1.5,250,180,185,35,Petti,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,(C),7,Bordeaux-Bègles
1.5,150,180,185,155,Roussel,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lesgourgues,,9,Bordeaux-Bègles
1.5,90,135,135,240,Jalibert,,10,Bordeaux-Bègles
1.5,275,90,85,15,Hulleu,,11,Bordeaux-Bègles
1.5,195,90,85,110,Moefana,,12,Bordeaux-Bègles
1.5,100,90,85,205,Dubié,,13,Bordeaux-Bègles
1.5,25,90,85,300,Cordero,,14,Bordeaux-Bègles
1.5,150,50,40,155,Buros,,15,Bordeaux-Bègles
1.5,45,315,355,265,Mavinga,,1,Perpignan
1.5,150,315,355,155,Velarte,,2,Perpignan
1.5,250,315,355,50,Kubriashvili,,3,Perpignan
1.5,200,360,405,200,Labouteley,,4,Perpignan
1.5,100,360,405,110,Mahu,,5,Perpignan
1.5,45,405,450,279,Brazo,,6,Perpignan
1.5,250,405,450,35,Bachelier,,7,Perpignan
1.5,150,405,450,155,Oviedo,,8,Perpignan
1.5,90,450,500,240,Landajo,,9,Perpignan
1.5,205,450,500,75,Tedder,,10,Perpignan
1.5,25,495,545,300,Delguy,,11,Perpignan
1.5,105,495,545,205,Tilsley,,12,Perpignan
1.5,200,495,545,110,Acebes,(C),13,Perpignan
1.5,275,495,545,15,Dubois,,14,Perpignan
1.5,150,535,590,155,Jaminet,,15,Perpignan
