picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Poirot,(C),1,Bordeaux-Bègles
1.5,150,270,275,155,Lamothe,,2,Bordeaux-Bègles
1.5,45,270,275,265,Cobilas,,3,Bordeaux-Bègles
1.5,200,225,225,110,Jolmes,,4,Bordeaux-Bègles
1.5,100,225,225,200,Cazeaux,,5,Bordeaux-Bègles
1.5,250,180,185,35,Marais,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,,7,Bordeaux-Bègles
1.5,150,180,185,155,Vergnes,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lucu,,9,Bordeaux-Bègles
1.5,90,135,135,240,Jalibert,,10,Bordeaux-Bègles
1.5,275,90,85,15,Cordero,,11,Bordeaux-Bègles
1.5,195,90,85,110,Moefana,,12,Bordeaux-Bègles
1.5,100,90,85,205,Uberti,,13,Bordeaux-Bègles
1.5,25,90,85,300,Tambwe,,14,Bordeaux-Bègles
1.5,150,50,40,155,Buros,,15,Bordeaux-Bègles
1.5,45,315,355,265,"Ben Arous",,1,"Racing 92"
1.5,150,315,355,155,Chat,,2,"Racing 92"
1.5,250,315,355,50,Nyakane,,3,"Racing 92"
1.5,200,360,405,200,Woki,,4,"Racing 92"
1.5,100,360,405,110,Sanconnie,,5,"Racing 92"
1.5,45,405,450,279,Diallo,,6,"Racing 92"
1.5,250,405,450,35,Chouzenoux,,7,"Racing 92"
1.5,150,405,450,155,Hemery,,8,"Racing 92"
1.5,90,450,500,240,"Le Garrec",,9,"Racing 92"
1.5,205,450,500,75,Russell,,10,"Racing 92"
1.5,25,495,545,300,Imhoff,,11,"Racing 92"
1.5,105,495,545,205,Chavancy,(C),12,"Racing 92"
1.5,200,495,545,110,Fickou,,13,"Racing 92"
1.5,275,495,545,15,Taofifenua,,14,"Racing 92"
1.5,150,535,590,155,Spring,,15,"Racing 92"
