picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Poirot,(C),1,Bordeaux-Bègles
1.5,150,270,275,155,Lamothe,,2,Bordeaux-Bègles
1.5,45,270,275,265,Tameifuna,,3,Bordeaux-Bègles
1.5,200,225,225,110,Douglas,,4,Bordeaux-Bègles
1.5,100,225,225,200,Cazeaux,,5,Bordeaux-Bègles
1.5,250,180,185,35,Miquel,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,,7,Bordeaux-Bègles
1.5,150,180,185,155,Timu,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lucu,,9,Bordeaux-Bègles
1.5,90,135,135,240,Jalibert,,10,Bordeaux-Bègles
1.5,275,90,85,15,Cordero,,11,Bordeaux-Bègles
1.5,195,90,85,110,Vili,,12,Bordeaux-Bègles
1.5,100,90,85,205,Moefana,,13,Bordeaux-Bègles
1.5,25,90,85,300,Cros,,14,Bordeaux-Bègles
1.5,150,50,40,155,Bielle-Biarrey,,15,Bordeaux-Bègles
1.5,45,315,355,265,Castets,,1,"Stade Français"
1.5,150,315,355,155,Peyresblanques,,2,"Stade Français"
1.5,250,315,355,50,Roelofse,,3,"Stade Français"
1.5,200,360,405,200,Gabrillagues,(C),4,"Stade Français"
1.5,100,360,405,110,Pesenti,,5,"Stade Français"
1.5,45,405,450,279,Ramototabua,,6,"Stade Français"
1.5,250,405,450,35,Briatte,,7,"Stade Français"
1.5,150,405,450,155,Macalou,,8,"Stade Français"
1.5,90,450,500,240,Coville,,9,"Stade Français"
1.5,205,450,500,75,Barré,,10,"Stade Français"
1.5,25,495,545,300,Ahmed,,11,"Stade Français"
1.5,105,495,545,205,Delbouis,,12,"Stade Français"
1.5,200,495,545,110,Naivalu,,13,"Stade Français"
1.5,275,495,545,15,Megdoud,,14,"Stade Français"
1.5,150,535,590,155,Hamdaoui,,15,"Stade Français"
