picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Poirot,(C),1,Bordeaux-Bègles
1.5,150,270,275,155,Lamothe,,2,Bordeaux-Bègles
1.5,45,270,275,265,Cobilas,,3,Bordeaux-Bègles
1.5,200,225,225,110,Jolmes,,4,Bordeaux-Bègles
1.5,100,225,225,200,Cazeaux,,5,Bordeaux-Bègles
1.5,250,180,185,35,Marais,,6,Bordeaux-Bègles
1.5,45,180,185,279,Diaby,,7,Bordeaux-Bègles
1.5,150,180,185,155,Vergnes,,8,Bordeaux-Bègles
1.5,205,135,135,75,Lesgourgues,,9,Bordeaux-Bègles
1.5,90,135,135,240,Holmes,,10,Bordeaux-Bègles
1.5,275,90,85,15,Tambwe,,11,Bordeaux-Bègles
1.5,195,90,85,110,Vili,,12,Bordeaux-Bègles
1.5,100,90,85,205,Uberti,,13,Bordeaux-Bègles
1.5,25,90,85,300,Cordero,,14,Bordeaux-Bègles
1.5,150,50,40,155,Bielle-Biarrey,,15,Bordeaux-Bègles
1.5,45,315,355,265,Devaux,,1,Toulon
1.5,150,315,355,155,Etrillard,,2,Toulon
1.5,250,315,355,50,Brookes,,3,Toulon
1.5,200,360,405,200,Rebbadj,,4,Toulon
1.5,100,360,405,110,"Alainu\'uese",,5,Toulon
1.5,45,405,450,279,"Du Preez",,6,Toulon
1.5,250,405,450,35,Isa,,7,Toulon
1.5,150,405,450,155,Parisse,(C),8,Toulon
1.5,90,450,500,240,Serin,,9,Toulon
1.5,205,450,500,75,West,,10,Toulon
1.5,25,495,545,300,Wainiqolo,,11,Toulon
1.5,105,495,545,205,"Paia\'aua",,12,Toulon
1.5,200,495,545,110,Waisea,,13,Toulon
1.5,275,495,545,15,Kolbe,,14,Toulon
1.5,150,535,590,155,Salles,,15,Toulon
