picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Drancourt,,1,Bourg-en-Bresse
1.5,150,270,275,155,Jullien,,2,Bourg-en-Bresse
1.5,45,270,275,265,Bordewie,,3,Bourg-en-Bresse
1.5,200,225,225,110,Bloemen,,4,Bourg-en-Bresse
1.5,100,225,225,200,Furno,,5,Bourg-en-Bresse
1.5,250,180,185,35,Lyons,,6,Bourg-en-Bresse
1.5,45,180,185,279,William,,7,Bourg-en-Bresse
1.5,150,180,185,155,Baradel,(C),8,Bourg-en-Bresse
1.5,205,135,135,75,Graulle,,9,Bourg-en-Bresse
1.5,90,135,135,240,Viard,,10,Bourg-en-Bresse
1.5,275,90,85,15,"De Fleurian",,11,Bourg-en-Bresse
1.5,195,90,85,110,Hingano,,12,Bourg-en-Bresse
1.5,100,90,85,205,Badet,,13,Bourg-en-Bresse
1.5,25,90,85,300,Dupont,,14,Bourg-en-Bresse
1.5,150,50,40,155,Bérard,,15,Bourg-en-Bresse
1.5,45,315,355,265,Guion,,1,Agen
1.5,150,315,355,155,Martinez,,2,Agen
1.5,250,315,355,50,Desmaison,,3,Agen
1.5,200,360,405,200,Devergie,,4,Agen
1.5,100,360,405,110,Demotte,,5,Agen
1.5,45,405,450,279,Gérondeau,,6,Agen
1.5,250,405,450,35,Farré,(C),7,Agen
1.5,150,405,450,155,Lokotui,,8,Agen
1.5,90,450,500,240,Bellot,,9,Agen
1.5,205,450,500,75,Lagarde,,10,Agen
1.5,25,495,545,300,Railevu,,11,Agen
1.5,105,495,545,205,Ramoka,,12,Agen
1.5,200,495,545,110,Gailleton,,13,Agen
1.5,275,495,545,15,Rokoduru,,14,Agen
1.5,150,535,590,155,Lamoulie,,15,Agen
