picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Kapanadze,,1,Bourg-en-Bresse
1.5,150,270,275,155,Elia,,2,Bourg-en-Bresse
1.5,45,270,275,265,Harmse,,3,Bourg-en-Bresse
1.5,200,225,225,110,Antonescu,,4,Bourg-en-Bresse
1.5,100,225,225,200,Roth,,5,Bourg-en-Bresse
1.5,250,180,185,35,Baradel,,6,Bourg-en-Bresse
1.5,45,180,185,279,"Jean Etienne",,7,Bourg-en-Bresse
1.5,150,180,185,155,Lyons,,8,Bourg-en-Bresse
1.5,205,135,135,75,Campeggia,,9,Bourg-en-Bresse
1.5,90,135,135,240,Poet,,10,Bourg-en-Bresse
1.5,275,90,85,15,Erasmus,,11,Bourg-en-Bresse
1.5,195,90,85,110,Dupouy,,12,Bourg-en-Bresse
1.5,100,90,85,205,Doucet,,13,Bourg-en-Bresse
1.5,25,90,85,300,Saint-Allier,,14,Bourg-en-Bresse
1.5,150,50,40,155,Dupont,(C),15,Bourg-en-Bresse
1.5,45,315,355,265,Cormenier,,1,Bayonne
1.5,150,315,355,155,Delonca,(C),2,Bayonne
1.5,250,315,355,50,Talakai,,3,Bayonne
1.5,200,360,405,200,Marchois,,4,Bayonne
1.5,100,360,405,110,Mikautadze,,5,Bayonne
1.5,45,405,450,279,Monribot,,6,Bayonne
1.5,250,405,450,35,Amosa,,7,Bayonne
1.5,150,405,450,155,Cassiem,,8,Bayonne
1.5,90,450,500,240,Venter,,9,Bayonne
1.5,205,450,500,75,Ordas,,10,Bayonne
1.5,25,495,545,300,Baget,,11,Bayonne
1.5,105,495,545,205,Muscarditz,,12,Bayonne
1.5,200,495,545,110,Maqala,,13,Bayonne
1.5,275,495,545,15,Jacquelain,,14,Bayonne
1.5,150,535,590,155,Germain,,15,Bayonne
