picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Tapueluelu,,1,Brive
1.5,150,270,275,155,"Tapueluelunoy ; ",,2,Brive
1.5,45,270,275,265,"Van der Merwe",,3,Brive
1.5,200,225,225,110,Delannoy,,4,Brive
1.5,100,225,225,200,Paulos,,5,Brive
1.5,250,180,185,35," Voisin",,6,Brive
1.5,45,180,185,279,"E. Abadie",,7,Brive
1.5,150,180,185,155,"Papali\'",,8,Brive
1.5,205,135,135,75,Lobzhanidze,,9,Brive
1.5,90,135,135,240,Olding,,10,Brive
1.5,275,90,85,15,Muller,,11,Brive
1.5,195,90,85,110,Arnold,,12,Brive
1.5,100,90,85,205,Tuicuvu,,13,Brive
1.5,25,90,85,300,Grandidier,,14,Brive
1.5,150,50,40,155,Laranjeira,(C),15,Brive
1.5,45,315,355,265,Perchaud,,1,Bayonne
1.5,150,315,355,155,Acquier,,2,Bayonne
1.5,250,315,355,50,Tatafu,,3,Bayonne
1.5,200,360,405,200,Leindekar,,4,Bayonne
1.5,100,360,405,110,Mikautadze,,5,Bayonne
1.5,45,405,450,279,Kafatolu,,6,Bayonne
1.5,250,405,450,35,Cridge,,7,Bayonne
1.5,150,405,450,155,Amosa,,8,Bayonne
1.5,90,450,500,240,Machenaud,(C),9,Bayonne
1.5,205,450,500,75,Dolhagaray,,10,Bayonne
1.5,25,495,545,300,Baget,,11,Bayonne
1.5,105,495,545,205,Martocq,,12,Bayonne
1.5,200,495,545,110,Maqala,,13,Bayonne
1.5,275,495,545,15,Hannoun,,14,Bayonne
1.5,150,535,590,155,Germain,,15,Bayonne
