picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Chauvac,,1,Brive
1.5,150,270,275,155,"Farao Matu\'u",,2,Brive
1.5,45,270,275,265,Japaridze,,3,Brive
1.5,200,225,225,110,"Zafra Tarazona",,4,Brive
1.5,100,225,225,200,Adler,,5,Brive
1.5,250,180,185,35,Marais,,6,Brive
1.5,45,180,185,279,Hireche,,7,Brive
1.5,150,180,185,155,"Fa\'aso\'o",,8,Brive
1.5,205,135,135,75,Lobzhanidze,,9,Brive
1.5,90,135,135,240,Hervé,,10,Brive
1.5,275,90,85,15,"Muller Aranda",,11,Brive
1.5,195,90,85,110,Lee,,12,Brive
1.5,100,90,85,205,Tuicuvu,,13,Brive
1.5,25,90,85,300,Bituniyata,,14,Brive
1.5,150,50,40,155,Laranjeira,,15,Brive
1.5,45,315,355,265,Cronin,,1,Biarritz
1.5,150,315,355,155,"Da Ros",,2,Biarritz
1.5,250,315,355,50,Azariashvili,,3,Biarritz
1.5,200,360,405,200,Dyer,,4,Biarritz
1.5,100,360,405,110,Tyrell,,5,Biarritz
1.5,45,405,450,279,"O\'Callaghan",,6,Biarritz
1.5,250,405,450,35,Jalagonia,,7,Biarritz
1.5,150,405,450,155,Armitage,,8,Biarritz
1.5,90,450,500,240,Aurrekoetxea,,9,Biarritz
1.5,205,450,500,75,Perraux,,10,Biarritz
1.5,25,495,545,300,Artru,,11,Biarritz
1.5,105,495,545,205,Saili,,12,Biarritz
1.5,200,495,545,110,Kuridrani,,13,Biarritz
1.5,275,495,545,15,Stark,,14,Biarritz
1.5,150,535,590,155,Lonca,,15,Biarritz
