picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,vv,,1,Brive
1.5,150,270,275,155,vv,,2,Brive
1.5,45,270,275,265,vv,,3,Brive
1.5,200,225,225,110,vv,,4,Brive
1.5,100,225,225,200,vv,,5,Brive
1.5,250,180,185,35,vv,,6,Brive
1.5,45,180,185,279,vv,,7,Brive
1.5,150,180,185,155,vv,,8,Brive
1.5,205,135,135,75,vv,,9,Brive
1.5,90,135,135,240,vv,,10,Brive
1.5,275,90,85,15,vv,,11,Brive
1.5,195,90,85,110,vv,,12,Brive
1.5,100,90,85,205,vv,,13,Brive
1.5,25,90,85,300,vv,,14,Brive
1.5,150,50,40,155,vv,,15,Brive
1.5,45,315,355,265,xx,,1,Castres
1.5,150,315,355,155,xx,,2,Castres
1.5,250,315,355,50,xx,,3,Castres
1.5,200,360,405,200,xx,,4,Castres
1.5,100,360,405,110,xx,,5,Castres
1.5,45,405,450,279,xx,,6,Castres
1.5,250,405,450,35,xx,,7,Castres
1.5,150,405,450,155,xx,,8,Castres
1.5,90,450,500,240,xx,,9,Castres
1.5,205,450,500,75,xx,,10,Castres
1.5,25,495,545,300,xx,,11,Castres
1.5,105,495,545,205,vv,,12,Castres
1.5,200,495,545,110,vv,(C),13,Castres
1.5,275,495,545,15,vv,,14,Castres
1.5,150,535,590,155,vv,,15,Castres
