picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Thompson-Stringer,,1,Brive
1.5,150,270,275,155,Karkadze,,2,Brive
1.5,45,270,275,265,Ceccarelli,,3,Brive
1.5,200,225,225,110,Ratuva,,4,Brive
1.5,100,225,225,200,Lees,,5,Brive
1.5,250,180,185,35,Marais,,6,Brive
1.5,45,180,185,279,Hirèche,(C),7,Brive
1.5,150,180,185,155,Kamikamica,,8,Brive
1.5,205,135,135,75,Abadie,,9,Brive
1.5,90,135,135,240,Hervé,,10,Brive
1.5,275,90,85,15,Muller,,11,Brive
1.5,195,90,85,110,Olding,,12,Brive
1.5,100,90,85,205,Galala,,13,Brive
1.5,25,90,85,300,Bituniyata,,14,Brive
1.5,150,50,40,155,Laranjeira,,15,Brive
1.5,45,315,355,265,Priso,,1,"La Rochelle"
1.5,150,315,355,155,Bourgarit,,2,"La Rochelle"
1.5,250,315,355,50,Papidze,,3,"La Rochelle"
1.5,200,360,405,200,Lavault,,4,"La Rochelle"
1.5,100,360,405,110,Skelton,,5,"La Rochelle"
1.5,45,405,450,279,Liebenberg,,6,"La Rochelle"
1.5,250,405,450,35,Bourdeau,,7,"La Rochelle"
1.5,150,405,450,155,Alldritt,(C),8,"La Rochelle"
1.5,90,450,500,240,Kerr-Barlow,,9,"La Rochelle"
1.5,205,450,500,75,Popelin,,10,"La Rochelle"
1.5,25,495,545,300,Favre,,11,"La Rochelle"
1.5,105,495,545,205,Danty,,12,"La Rochelle"
1.5,200,495,545,110,Rhule,,13,"La Rochelle"
1.5,275,495,545,15,Leyds,,14,"La Rochelle"
1.5,150,535,590,155,Dulin,,15,"La Rochelle"
