picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,A,(C),1,Brive
1.5,150,270,275,155,Z,,2,Brive
1.5,45,270,275,265,r,,3,Brive
1.5,200,225,225,110,t,,4,Brive
1.5,100,225,225,200,t,,5,Brive
1.5,250,180,185,35,n,,6,Brive
1.5,45,180,185,279,v,,7,Brive
1.5,150,180,185,155,b,,8,Brive
1.5,205,135,135,75,b,,9,Brive
1.5,90,135,135,240,b,,10,Brive
1.5,275,90,85,15,b,,11,Brive
1.5,195,90,85,110,b,,12,Brive
1.5,100,90,85,205,b,,13,Brive
1.5,25,90,85,300,b,,14,Brive
1.5,150,50,40,155,b,,15,Brive
1.5,45,315,355,265,f,(C),1,Lyon
1.5,150,315,355,155,f,,2,Lyon
1.5,250,315,355,50,D,,3,Lyon
1.5,200,360,405,200,V,,4,Lyon
1.5,100,360,405,110,N,,5,Lyon
1.5,45,405,450,279,G,,6,Lyon
1.5,250,405,450,35,G,,7,Lyon
1.5,150,405,450,155,G,,8,Lyon
1.5,90,450,500,240,G,,9,Lyon
1.5,205,450,500,75,G,,10,Lyon
1.5,25,495,545,300,G,,11,Lyon
1.5,105,495,545,205,G,,12,Lyon
1.5,200,495,545,110,G,,13,Lyon
1.5,275,495,545,15,G,,14,Lyon
1.5,150,535,590,155,G,,15,Lyon
