picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Brennan,,1,Brive
1.5,150,270,275,155,Narisia,,2,Brive
1.5,45,270,275,265,Japaridze,,3,Brive
1.5,200,225,225,110,Lebas,,4,Brive
1.5,100,225,225,200,Lees,,5,Brive
1.5,250,180,185,35,Cerqueira,,6,Brive
1.5,45,180,185,279,Voisin,,7,Brive
1.5,150,180,185,155,Lam,,8,Brive
1.5,205,135,135,75,"P. Abadie",,9,Brive
1.5,90,135,135,240,Abzhandadze,,10,Brive
1.5,275,90,85,15,Jurand,,11,Brive
1.5,195,90,85,110,Galala,,12,Brive
1.5,100,90,85,205,Douglas,,13,Brive
1.5,25,90,85,300,Tournebize,,14,Brive
1.5,150,50,40,155,Laranjeira,(C),15,Brive
1.5,45,315,355,265,Sénéca,,1,Pau
1.5,150,315,355,155,Barka,,2,Pau
1.5,250,315,355,50,"Van Dyk",,3,Pau
1.5,200,360,405,200,Auradou,,4,Pau
1.5,100,360,405,110,Delannoy,,5,Pau
1.5,45,405,450,279,Hewat,,6,Pau
1.5,250,405,450,35,Hamonou,,7,Pau
1.5,150,405,450,155,Habel-Küffner,,8,Pau
1.5,90,450,500,240,"Le Bail",,9,Pau
1.5,205,450,500,75,Debaes,,10,Pau
1.5,25,495,545,300,Ikpefan,,11,Pau
1.5,105,495,545,205,Vatubua,(C),12,Pau
1.5,200,495,545,110,"Tutuila Vaea",,13,Pau
1.5,275,495,545,15,Pinto,,14,Pau
1.5,150,535,590,155,Carol,,15,Pau
